"Wavelength (nm)","σ (cm^2)"
133.5,1.10E-18
134.0,7.40E-19
134.5,6.00E-19
135.0,1.10E-18
135.5,5.20E-19
136.0,9.70E-19
136.5,5.60E-19
137.0,7.10E-19
137.5,5.20E-19
138.0,6.70E-19
140.0,5.30E-19
142.0,5.40E-19
144.0,6.00E-19
146.0,6.00E-19
148.0,6.00E-19
149.0,6.00E-19
150.0,5.20E-19
151.0,4.80E-19
152.0,4.50E-19
153.0,4.80E-19
154.0,4.50E-19
155.0,3.50E-19
156.0,3.00E-19
157.0,3.00E-19
158.0,2.60E-19
159.0,1.90E-19
160.0,1.90E-19
162.0,1.10E-19
164.0,8.90E-20
166.0,6.30E-20
168.0,3.20E-20
170.0,2.30E-20
175.0,5.80E-21
180.0,1.80E-21
185.0,5.00E-22
190.0,1.20E-22
195.0,1.00E-23
227.5,1.00E-25
