"Wavelength (nm)","σ (cm^2)"
105.88,1.19E-17
105.95,9.57E-18
106.17,8.04E-18
106.26,1.00E-17
106.36,1.19E-17
106.51,1.37E-17
106.64,1.12E-17
106.7,9.12E-18
106.76,7.93E-18
106.85,7.03E-18
106.89,6.75E-18
106.99,6.29E-18
107.07,6.74E-18
107.14,6.44E-18
107.22,6.81E-18
107.27,6.74E-18
107.32,7.11E-18
107.39,7.11E-18
107.53,7.37E-18
107.6,7.78E-18
107.7,8.60E-18
107.78,1.00E-17
107.98,8.86E-18
108.16,1.14E-17
108.3,8.49E-18
108.46,7.70E-18
108.61,9.53E-18
108.68,8.82E-18
108.77,7.48E-18
108.87,6.44E-18
109.0,5.81E-18
109.11,5.58E-18
109.17,5.40E-18
109.27,5.32E-18
109.34,5.25E-18
109.46,4.99E-18
109.59,5.36E-18
109.71,5.02E-18
109.79,4.84E-18
109.95,4.43E-18
110.06,4.43E-18
110.16,4.06E-18
110.21,3.95E-18
110.32,4.24E-18
110.38,3.60E-18
110.44,4.13E-18
110.5,4.35E-18
110.6,4.39E-18
110.72,5.06E-18
110.78,4.84E-18
110.83,5.77E-18
110.89,6.10E-18
110.99,6.77E-18
111.05,6.36E-18
111.16,5.77E-18
111.24,5.21E-18
111.32,5.02E-18
111.44,4.62E-18
111.51,4.62E-18
111.65,4.39E-18
111.75,4.02E-18
111.79,3.87E-18
111.83,3.83E-18
111.91,3.83E-18
111.96,3.72E-18
112.13,3.70E-18
112.25,3.42E-18
112.4,3.36E-18
112.48,3.45E-18
112.51,3.23E-18
112.6,3.27E-18
112.62,3.37E-18
112.69,3.29E-18
112.73,4.24E-18
112.83,3.62E-18
112.91,3.80E-18
112.96,3.11E-18
113.04,3.20E-18
113.14,3.07E-18
113.19,2.75E-18
113.28,2.78E-18
113.33,2.69E-18
113.38,2.72E-18
113.43,2.84E-18
113.54,3.13E-18
113.6,3.00E-18
113.66,3.39E-18
113.75,3.80E-18
113.8,3.64E-18
113.87,3.61E-18
114.0,3.29E-18
114.12,2.94E-18
114.17,3.17E-18
114.31,3.42E-18
114.44,3.32E-18
114.47,3.43E-18
114.6,3.14E-18
114.78,3.36E-18
114.86,3.03E-18
115.01,3.07E-18
115.09,2.85E-18
115.21,3.07E-18
115.38,3.22E-18
115.49,3.02E-18
115.59,3.12E-18
115.65,2.90E-18
115.7,2.90E-18
115.74,3.12E-18
115.81,3.12E-18
115.87,2.60E-18
115.98,2.74E-18
116.07,2.80E-18
116.13,2.52E-18
116.29,2.69E-18
116.39,2.49E-18
116.49,2.80E-18
116.61,2.51E-18
116.68,2.78E-18
116.72,2.65E-18
116.82,2.58E-18
116.88,2.59E-18
116.91,2.59E-18
117.06,2.88E-18
117.21,2.73E-18
117.32,3.29E-18
117.44,2.60E-18
117.59,2.51E-18
117.68,2.40E-18
117.73,2.58E-18
117.83,2.45E-18
117.92,2.73E-18
118.05,2.40E-18
118.13,2.36E-18
118.19,2.44E-18
118.25,2.34E-18
118.31,2.34E-18
118.44,2.36E-18
118.55,2.75E-18
118.66,2.82E-18
118.71,2.72E-18
118.79,2.48E-18
118.89,2.37E-18
118.94,2.34E-18
119.1,2.61E-18
119.17,2.24E-18
119.25,2.45E-18
119.33,2.23E-18
119.43,2.16E-18
119.46,2.16E-18
119.51,2.24E-18
119.65,2.33E-18
119.84,2.17E-18
119.9,2.29E-18
119.95,2.26E-18
120.06,2.38E-18
120.18,2.19E-18
120.26,2.19E-18
120.39,2.25E-18
120.49,2.08E-18
120.61,2.10E-18
120.66,2.08E-18
120.75,1.97E-18
120.89,2.20E-18
120.92,2.15E-18
121.07,2.27E-18
121.14,2.13E-18
121.29,2.42E-18
121.4,2.59E-18
121.57,2.43E-18
121.65,2.33E-18
121.74,2.39E-18
121.9,2.11E-18
122.11,2.19E-18
122.2,2.57E-18
122.35,2.08E-18
122.49,2.53E-18
122.56,2.28E-18
122.61,2.33E-18
122.71,2.72E-18
122.83,1.98E-18
122.9,1.83E-18
123.01,1.89E-18
123.2,2.17E-18
123.32,2.44E-18
123.36,2.13E-18
123.42,2.13E-18
123.53,2.29E-18
123.57,2.12E-18
123.64,2.40E-18
123.8,2.10E-18
123.84,2.04E-18
123.89,2.10E-18
123.96,1.91E-18
124.14,1.97E-18
124.3,2.14E-18
124.35,1.91E-18
124.44,2.46E-18
124.52,1.98E-18
124.59,1.99E-18
124.62,1.92E-18
124.73,2.04E-18
124.93,2.67E-18
124.98,2.79E-18
125.09,2.62E-18
125.13,2.70E-18
125.2,2.15E-18
125.36,1.85E-18
125.43,1.94E-18
125.48,1.92E-18
125.56,2.04E-18
125.68,2.27E-18
125.71,2.18E-18
125.79,2.08E-18
125.88,2.37E-18
125.99,2.14E-18
126.17,2.01E-18
126.25,1.91E-18
126.29,2.10E-18
126.42,1.80E-18
126.57,2.00E-18
126.65,2.19E-18
126.72,2.04E-18
126.81,2.51E-18
126.9,2.37E-18
126.97,1.88E-18
127.06,2.39E-18
127.14,2.10E-18
127.19,2.04E-18
