"Wavelength (nm)","σ (cm^2)"
89.4,2.3176059518e-17
89.6,2.2749921321e-17
89.8,2.2162641208e-17
90,2.1832814147e-17
90.2,2.1512646294e-17
90.4,2.1369076231e-17
90.6,2.0542108679e-17
90.8,2.0560527279e-17
91,2.0562976995e-17
91.2,2.0240880806e-17
91.4,1.9854971533e-17
91.6,2e-17
91.8,1.9124011296e-17
92,1.8262927888e-17
92.2,1.8297836872e-17
92.4,1.8403148785e-17
92.6,1.816367075e-17
92.8,1.7710372576e-17
93,1.7487994352e-17
93.2,1.7807256383e-17
93.4,1.7540871878e-17
93.6,1.6830564376e-17
93.8,1.7022339596e-17
94,1.7424799706e-17
94.2,1.7453292423e-17
94.4,1.6726668797e-17
94.6,1.7444645429e-17
94.8,1.7207357481e-17
95,1.6720596354e-17
95.2,1.7682284632e-17
95.4,1.766761816e-17
95.6,1.7277501259e-17
95.8,1.8187164251e-17
96,1.8333521304e-17
96.2,1.8445243151e-17
96.4,1.8639324216e-17
96.6,1.8245092801e-17
96.8,1.8950239441e-17
97,1.821937355e-17
97.2,1.928450415e-17
97.4,1.8561575574e-17
97.6,1.9711886123e-17
97.8,1.8972007784e-17
98,1.9977249137e-17
98.2,1.964238607e-17
98.4,2.0387882755e-17
98.6,1.9868608837e-17
98.8,2.0697669248e-17
99,2.0748142171e-17
99.2,2.0998654812e-17
99.4,2.1139903223e-17
99.6,2.129e-17
99.8,2.144e-17
100,2.0601179729e-17
100.2,2.1612871305e-17
100.4,2.1805334143e-17
100.6,2.0903490195e-17
100.8,2.2028117645e-17
101,2.1933675552e-17
101.2,2.1760325231e-17
101.4,2.2542398364e-17
101.6,2.2570313447e-17
101.8,2.1509558734e-17
102,2.272421725e-17
102.2,2.284471379e-17
102.4,2.2173016262e-17
102.6,2.2913116658e-17
102.8,2.3213233513e-17
103,2.3184017561e-17
103.2,2.2693192175e-17
103.4,2.304633865e-17
103.6,1.9e-17
103.8,2.357291612e-17
104,2.3610726728e-17
104.2,2.2928602179e-17
104.4,2.3822897743e-17
104.6,2.3859105583e-17
104.8,2.397416271e-17
105,2.3994878556e-17
105.2,2.2689520051e-17
105.4,2.414708755e-17
105.6,2.3859791285e-17
105.8,2.4379755025e-17
106,2.4362845044e-17
106.2,2.4420403297e-17
106.4,2.4378867031e-17
106.6,2.3598848512e-17
106.8,2.3172156692e-17
107,2.4575275565e-17
107.2,2.4663415581e-17
107.4,2.4750367354e-17
107.6,2.4544357705e-17
107.8,2.3616810405e-17
108,2.4583339289e-17
108.2,2.4163023123e-17
108.4,1.9e-17
108.6,2.486423558e-17
108.8,2.4656492602e-17
109,2.4597971084e-17
109.2,2.4770618729e-17
109.4,2.458412577e-17
109.6,2.4746388964e-17
109.8,2.5237421536e-17
110,2.4904742853e-17
110.2,2.4059252555e-17
110.4,2.3753046182e-17
110.6,2.395963736e-17
110.8,2.4098633852e-17
111,2.3902485882e-17
111.2,2.4165164696e-17
111.4,2.3839255168e-17
111.6,2.0969014734e-17
111.8,2.0444947468e-17
112,2.0905187123e-17
112.2,2.3486530564e-17
112.4,2.364404965e-17
112.6,2.3038857626e-17
112.8,2.1761323246e-17
113,2.0302805864e-17
113.2,2.0968060064e-17
113.4,1.966482787e-17
113.6,1.9925499744e-17
113.8,2.1976728211e-17
114,2.101454887e-17
114.2,1.8687754812e-17
114.4,1.7831140893e-17
114.6,1.8096230473e-17
114.8,1.7859673198e-17
115,2.0963114846e-17
115.2,2.1363085283e-17
115.4,2.0293536744e-17
115.6,1.6304012868e-17
115.8,1.5417424449e-17
116,1.6103514614e-17
116.2,1.549700633e-17
116.4,2.0211668451e-17
116.6,1.7563050281e-17
116.8,1.8791556281e-17
117,1.3544450964e-17
117.2,1.4419706932e-17
117.4,1.3552343583e-17
117.6,1.250788997e-17
117.8,1.8982536848e-17
118,1.7267437422e-17
118.2,1.7816736544e-17
118.4,1.2716147588e-17
118.6,1.1142432059e-17
118.8,1.3111676759e-17
119,1.1546312661e-17
119.2,1.5812772859e-17
119.4,1.549100263e-17
119.6,1.6920896386e-17
119.8,1.2771980502e-17
120,9.0607094509e-18
120.2,1.4421881221e-17
120.4,1.0656255085e-17
120.6,1.1764589263e-17
120.8,1.7720325885e-17
121,1.2953826825e-17
121.2,1.2419494101e-17
121.4,6.6654046261e-18
121.6,8.9051080962e-18
121.8,1.7083730627e-17
122,9.8347573827e-18
122.2,1.3354429765e-17
122.4,1.2337584077e-17
122.6,1.4333478137e-17
122.8,7.8987882985e-18
123,4.7591967486e-18
123.2,1.1271979855e-17
123.4,1.2790572941e-17
123.6,1.3266189824e-17
123.8,1.2417602724e-17
124,1.1717547663e-17
124.2,7.5713675741e-18
124.4,7.3217728718e-18
124.6,9.7902287488e-18
124.8,1.2140610277e-17
125,1.3152560187e-17
125.2,1.3858702251e-17
125.4,1.2908430494e-17
125.6,9.486749728e-18
125.8,6.5866741161e-18
126,6.7774278554e-18
126.2,9.4777830608e-18
126.4,1.1915062941e-17
126.6,1.3011847139e-17
126.8,1.377525392e-17
127,1.3603378741e-17
127.2,1.0434494592e-17
127.4,7.2363452733e-18
127.6,4.9388116328e-18
127.8,8.6080755467e-18
128,1.1276654328e-17
128.2,1.252118139e-17
128.4,1.3236433682e-17
128.6,1.4277096286e-17
128.8,1.3619130653e-17
129,1.02007153e-17
129.2,7.4116106241e-18
129.4,7.7426254485e-18
129.6,9.5335593211e-18
129.8,1.0978828103e-17
130,1.2138063869e-17
130.2,1.4023163297e-17
130.4,1.5562575253e-17
130.6,2.7e-17
130.8,1.1274488171e-17
131,8.2140951907e-18
131.2,7.458119618e-18
131.4,8.4641597544e-18
131.6,1.0215760136e-17
131.8,1.2153587154e-17
132,1.4645691651e-17
132.2,1.7556341569e-17
132.4,1.6611240996e-17
132.6,1.1962801372e-17
132.8,7.9992994281e-18
133,6.6565371925e-18
133.2,7.7557688608e-18
133.4,1.0091189876e-17
133.6,1.2344171148e-17
133.8,1.5180460135e-17
134,1.8118488639e-17
134.2,1.7241030846e-17
134.4,1.2443760277e-17
134.6,7.9054131169e-18
134.8,6.3810702852e-18
135,7.1089036182e-18
135.2,9.1248832607e-18
135.4,1.1156369983e-17
135.6,1.4036309553e-17
135.8,1.7387195215e-17
136,1.6765480401e-17
136.2,1.2259748618e-17
136.4,7.8316610349e-18
136.6,5.7706147592e-18
136.8,6.0257655256e-18
137,7.4454141821e-18
137.2,9.2352288448e-18
137.4,1.1244410277e-17
137.6,1.3715685791e-17
137.8,1.0879239692e-17
138,1.1487342216e-17
138.2,7.4072852089e-18
138.4,5.2234401849e-18
138.6,4.8190162225e-18
