"Wavelength (nm)","σ (cm^2)"
137.4,1.753709e-18
137.6,1.839756e-18
137.8,1.853865e-18
138,1.672828e-18
138.2,1.44407e-18
138.4,1.253988e-18
138.6,1.114458e-18
138.8,1.096145e-18
139,1.151763e-18
139.2,1.231841e-18
139.4,1.225791e-18
139.6,1.157147e-18
139.8,1.050372e-18
140,8.797719e-19
140.2,7.432155e-19
140.4,6.872328e-19
140.6,6.78622e-19
140.8,7.249205e-19
141,7.808073e-19
141.2,7.699172e-19
141.4,7.292449e-19
141.6,6.710711e-19
141.8,6.345131e-19
142,6.0641e-19
142.2,5.683768e-19
142.4,5.302706e-19
142.6,5.195748e-19
142.8,5.276793e-19
143,5.435936e-19
143.2,5.536195e-19
143.4,5.430326e-19
143.6,5.209467e-19
143.8,5.184887e-19
144,5.276858e-19
144.2,5.381952e-19
144.4,5.356359e-19
144.6,5.332631e-19
144.8,5.317321e-19
145,5.366996e-19
145.2,5.518438e-19
145.4,5.682057e-19
145.6,5.778542e-19
145.8,5.917758e-19
146,6.052594e-19
146.2,6.249212e-19
146.4,6.527785e-19
146.6,6.73574e-19
146.8,6.887216e-19
147,7.021514e-19
147.2,7.201289e-19
147.4,7.427658e-19
147.6,7.655679e-19
147.8,7.90664e-19
148,8.183213e-19
148.2,8.464813e-19
148.4,8.758084e-19
148.6,9.037565e-19
148.8,9.39102e-19
149,9.712592e-19
149.2,1.003184e-18
149.4,1.036088e-18
149.6,1.068158e-18
149.8,1.100496e-18
150,1.136358e-18
150.2,1.172711e-18
150.4,1.210784e-18
150.6,1.248793e-18
150.8,1.290867e-18
151,1.331488e-18
151.2,1.375242e-18
151.4,1.417819e-18
151.6,1.462504e-18
151.8,1.506821e-18
152,1.551501e-18
152.2,1.597982e-18
152.4,1.64359e-18
152.6,1.691975e-18
152.8,1.738583e-18
153,1.786259e-18
153.2,1.837354e-18
153.4,1.888154e-18
153.6,1.940307e-18
153.8,1.993982e-18
154,2.04553e-18
154.2,2.100339e-18
154.4,2.155233e-18
154.6,2.210528e-18
154.8,2.268459e-18
155,2.326752e-18
155.2,2.384771e-18
155.4,2.4416e-18
155.6,2.504162e-18
155.8,2.562651e-18
156,2.625602e-18
156.2,2.685237e-18
156.4,2.747944e-18
156.6,2.806584e-18
156.8,2.86887e-18
157,2.928379e-18
157.2,2.987288e-18
157.4,3.048221e-18
157.6,3.110067e-18
157.8,3.172019e-18
158,3.232453e-18
158.2,3.294861e-18
158.4,3.35653e-18
158.6,3.422333e-18
158.8,3.485569e-18
159,3.548205e-18
159.2,3.61423e-18
159.4,3.677869e-18
159.6,3.743144e-18
159.8,3.807764e-18
160,3.870701e-18
160.2,3.933823e-18
160.4,3.993832e-18
160.6,4.053164e-18
160.8,4.111768e-18
161,4.169042e-18
161.2,4.223226e-18
161.4,4.277547e-18
161.6,4.327261e-18
161.8,4.378253e-18
162,4.427773e-18
162.2,4.474661e-18
162.4,4.520758e-18
162.6,4.568748e-18
162.8,4.6134e-18
163,4.658424e-18
163.2,4.703122e-18
163.4,4.751438e-18
163.6,4.796655e-18
163.8,4.840286e-18
164,4.880654e-18
164.2,4.922678e-18
164.4,4.961596e-18
164.6,5.001099e-18
164.8,5.03553e-18
165,5.069414e-18
165.2,5.097111e-18
165.4,5.122976e-18
165.6,5.145701e-18
165.8,5.15931e-18
166,5.171429e-18
166.2,5.179348e-18
166.4,5.184123e-18
166.6,5.183558e-18
166.8,5.182642e-18
167,5.175743e-18
167.2,5.16605e-18
167.4,5.157718e-18
167.6,5.147394e-18
167.8,5.13702e-18
168,5.127578e-18
168.2,5.118209e-18
168.4,5.108611e-18
168.6,5.099575e-18
168.8,5.091866e-18
169,5.082899e-18
169.2,5.072793e-18
169.4,5.06224e-18
169.6,5.047216e-18
169.8,5.033374e-18
170,5.011055e-18
170.2,4.98866e-18
170.4,4.957598e-18
170.6,4.921495e-18
170.8,4.879439e-18
171,4.832433e-18
171.2,4.777295e-18
171.4,4.713341e-18
171.6,4.645066e-18
171.8,4.569578e-18
172,4.489501e-18
172.2,4.404461e-18
172.4,4.316251e-18
172.6,4.226612e-18
172.8,4.137895e-18
173,4.047523e-18
173.2,3.961936e-18
173.4,3.879235e-18
173.6,3.794758e-18
173.8,3.713648e-18
174,3.634717e-18
174.2,3.557329e-18
174.4,3.486785e-18
174.6,3.418195e-18
174.8,3.35141e-18
175,3.286594e-18
175.2,3.222168e-18
175.4,3.157681e-18
175.6,3.092977e-18
175.8,3.023977e-18
176,2.953007e-18
176.2,2.87993e-18
176.4,2.804307e-18
176.6,2.721981e-18
176.8,2.634004e-18
177,2.542556e-18
177.2,2.445836e-18
177.4,2.341752e-18
177.6,2.23377e-18
177.8,2.12317e-18
178,2.009096e-18
178.2,1.892101e-18
178.4,1.7751e-18
178.6,1.657614e-18
178.8,1.543784e-18
179,1.429459e-18
179.2,1.319685e-18
179.4,1.214398e-18
179.6,1.11188e-18
179.8,1.014734e-18
180,9.240519e-19
180.2,8.404225e-19
180.4,7.637847e-19
180.6,6.891236e-19
180.8,6.246523e-19
181,5.642874e-19
181.2,5.089362e-19
181.4,4.574508e-19
181.6,4.133981e-19
181.8,3.7185e-19
182,3.320497e-19
182.2,3.002891e-19
182.4,2.701171e-19
182.6,2.427815e-19
182.8,2.18031e-19
183,1.966136e-19
183.2,1.770487e-19
183.4,1.586012e-19
183.6,1.447197e-19
183.8,1.307805e-19
184,1.185258e-19
184.2,1.070227e-19
184.4,9.614054e-20
184.6,8.73981e-20
184.8,7.928411e-20
185,7.189138e-20
185.2,6.493097e-20
185.4,5.872297e-20
185.6,5.319026e-20
185.8,4.813508e-20
186,4.42944e-20
186.2,4.030168e-20
186.4,3.652796e-20
186.6,3.368858e-20
186.8,3.063616e-20
187,2.802813e-20
187.2,2.575071e-20
187.4,2.341663e-20
187.6,2.156397e-20
187.8,1.982384e-20
188,1.812342e-20
188.2,1.642124e-20
188.4,1.453693e-20
188.6,1.364138e-20
188.8,1.248367e-20
189,1.144155e-20
189.2,1.043211e-20
189.4,9.061372e-21
189.6,9.013985e-21
189.8,8.106179e-21
190,7.668049e-21
190.2,7.481716e-21
190.4,6.869215e-21
190.6,6.40893e-21
190.8,5.850418e-21
191,5.210162e-21
191.2,4.85211e-21
191.4,4.931555e-21
191.6,4.487088e-21
191.8,3.595558e-21
192,3.220044e-21
192.2,3.260043e-21
192.4,3.490772e-21
192.6,3.795169e-21
192.8,2.800651e-21
193,3.15553e-21
193.2,2.871497e-21
193.4,2.794774e-21
193.6,2.704083e-21
193.8,2.576077e-21
194,9.48e-22
194.2,8.98e-22
194.4,8.44e-22
194.6,7.44e-22
194.8,6.99e-22
195,5.81e-22
195.2,5e-22
195.4,4.45e-22
195.6,3.98e-22
195.8,3.81e-22
196,3.68e-22
196.2,1.0326093276e-21
196.4,9.7865277355e-22
196.6,9.9751632787e-22
196.8,9.21939586e-22
197,9.9653619273e-22
197.2,9.33e-22
197.4,9.03e-22
197.6,9.4649878463e-22
197.8,8.7007431228e-22
198,8.7850603651e-22
198.2,8.8986046251e-22
198.4,8.6326678977e-22
198.6,8.0762712449e-22
198.8,7.3695341971e-22
199,4.979125066e-22
199.2,3.3640778046e-22
199.4,2.2728931942e-22
199.6,1.5356492246e-22
199.8,1.037540412e-22
290,2.27e-24
295,1.06e-24
300,8.71e-25
305,6.85e-25
310,5.58e-25
315,2.19e-25
320,1.62e-25
325,1.4e-25
330,2.94e-25
335,5.89e-25
340,2.49e-25
345,4.8e-25
