Level  PRESSURE   K111    K112    K113    K114    K115    K116    K117    K118    K119    K120
  97  1.347E+03   0.000E+00  0.000E+00  0.000E+00  2.720E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.090E-04  0.000E+00
  98  1.219E+03   0.000E+00  0.000E+00  0.000E+00  2.859E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.147E-04  0.000E+00
  99  1.102E+03   0.000E+00  0.000E+00  0.000E+00  2.993E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.202E-04  0.000E+00
 100  9.972E+02   0.000E+00  0.000E+00  0.000E+00  3.122E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.255E-04  0.000E+00
 101  9.018E+02   0.000E+00  0.000E+00  0.000E+00  3.246E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.306E-04  0.000E+00
 102  8.161E+02   0.000E+00  0.000E+00  0.000E+00  3.365E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.355E-04  0.000E+00
 103  7.384E+02   0.000E+00  0.000E+00  0.000E+00  3.479E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.402E-04  0.000E+00
 104  6.676E+02   0.000E+00  0.000E+00  0.000E+00  3.589E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.448E-04  0.000E+00
 105  6.038E+02   0.000E+00  0.000E+00  0.000E+00  3.696E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.492E-04  0.000E+00
 106  5.463E+02   0.000E+00  0.000E+00  0.000E+00  3.801E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.535E-04  0.000E+00
 107  4.941E+02   0.000E+00  0.000E+00  0.000E+00  3.903E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.578E-04  0.000E+00
 108  4.470E+02   0.000E+00  0.000E+00  0.000E+00  4.004E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.619E-04  0.000E+00
 109  4.044E+02   0.000E+00  0.000E+00  0.000E+00  4.104E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.661E-04  0.000E+00
 110  3.656E+02   0.000E+00  0.000E+00  0.000E+00  4.204E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.703E-04  0.000E+00
 111  3.308E+02   0.000E+00  0.000E+00  0.000E+00  4.305E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.745E-04  0.000E+00
 112  2.991E+02   0.000E+00  0.000E+00  0.000E+00  4.406E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.787E-04  0.000E+00
 113  2.705E+02   0.000E+00  0.000E+00  0.000E+00  4.506E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.829E-04  0.000E+00
