 Level  PRESSURE   K121    K122    K123    K124    K125    K126    K127    K128    K129    K130
  75  1.217E+04   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  7.856E-05  0.000E+00  0.000E+00  1.073E-01  2.911E-08
  76  1.102E+04   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  8.263E-05  0.000E+00  0.000E+00  1.196E-01  3.164E-08
  77  9.969E+03   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  8.728E-05  0.000E+00  0.000E+00  1.321E-01  3.477E-08
  78  9.020E+03   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  9.291E-05  0.000E+00  0.000E+00  1.449E-01  3.866E-08
  79  8.164E+03   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E-04  0.000E+00  0.000E+00  1.578E-01  4.343E-08
  80  7.385E+03   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.093E-04  0.000E+00  0.000E+00  1.710E-01  4.920E-08
  81  6.685E+03   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.215E-04  0.000E+00  0.000E+00  1.846E-01  5.605E-08
  82  6.047E+03   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.376E-04  0.000E+00  0.000E+00  1.985E-01  6.405E-08
  83  5.474E+03   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.586E-04  0.000E+00  0.000E+00  2.132E-01  7.328E-08
  84  4.951E+03   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.852E-04  0.000E+00  0.000E+00  2.288E-01  8.373E-08
  85  4.481E+03   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.180E-04  0.000E+00  0.000E+00  2.454E-01  9.539E-08
  86  4.055E+03   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.579E-04  0.000E+00  0.000E+00  2.633E-01  1.083E-07
  87  3.667E+03   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  3.045E-04  0.000E+00  0.000E+00  2.827E-01  1.223E-07
  88  3.316E+03   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  3.580E-04  0.000E+00  0.000E+00  3.036E-01  1.373E-07
  89  3.001E+03   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  4.179E-04  0.000E+00  0.000E+00  3.260E-01  1.531E-07
  90  2.716E+03   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  4.835E-04  0.000E+00  0.000E+00  3.501E-01  1.696E-07
  91  2.457E+03   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  5.540E-04  0.000E+00  0.000E+00  3.757E-01  1.866E-07
  92  2.222E+03   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  6.286E-04  0.000E+00  0.000E+00  4.027E-01  2.040E-07
  93  2.011E+03   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  7.058E-04  0.000E+00  0.000E+00  4.307E-01  2.215E-07
  94  1.819E+03   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  7.853E-04  0.000E+00  0.000E+00  4.598E-01  2.390E-07
  95  1.646E+03   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  8.657E-04  0.000E+00  0.000E+00  4.897E-01  2.564E-07
  96  1.489E+03   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  9.460E-04  0.000E+00  0.000E+00  5.198E-01  2.734E-07
  97  1.347E+03   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.026E-03  0.000E+00  0.000E+00  5.500E-01  2.901E-07
  98  1.219E+03   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.104E-03  0.000E+00  0.000E+00  5.802E-01  3.062E-07
  99  1.102E+03   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.181E-03  0.000E+00  0.000E+00  6.098E-01  3.218E-07
 100  9.972E+02   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.255E-03  0.000E+00  0.000E+00  6.389E-01  3.368E-07
 101  9.018E+02   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.327E-03  0.000E+00  0.000E+00  6.670E-01  3.513E-07
 102  8.161E+02   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.396E-03  0.000E+00  0.000E+00  6.941E-01  3.652E-07
 103  7.384E+02   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.463E-03  0.000E+00  0.000E+00  7.201E-01  3.788E-07
 104  6.676E+02   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.527E-03  0.000E+00  0.000E+00  7.447E-01  3.920E-07
