Level      PRESSURE   K91    K92    K93    K94    K95    K96    K97    K98    K99    K100
 102  8.161E+02   0.000E+00  8.865E-02  1.914E-02  1.285E-02  3.309E-04  0.000E+00  0.000E+00  0.000E+00  5.031E-01  5.031E-01
 103  7.384E+02   0.000E+00  8.938E-02  1.930E-02  1.302E-02  3.432E-04  0.000E+00  0.000E+00  0.000E+00  5.095E-01  5.095E-01
 104  6.676E+02   0.000E+00  9.003E-02  1.944E-02  1.316E-02  3.550E-04  0.000E+00  0.000E+00  0.000E+00  5.152E-01  5.152E-01
 105  6.038E+02   0.000E+00  9.063E-02  1.955E-02  1.330E-02  3.664E-04  0.000E+00  0.000E+00  0.000E+00  5.204E-01  5.204E-01
 106  5.463E+02   0.000E+00  9.118E-02  1.965E-02  1.342E-02  3.775E-04  0.000E+00  0.000E+00  0.000E+00  5.249E-01  5.249E-01
 107  4.941E+02   0.000E+00  9.168E-02  1.971E-02  1.352E-02  3.882E-04  0.000E+00  0.000E+00  0.000E+00  5.288E-01  5.288E-01
 108  4.470E+02   0.000E+00  9.213E-02  1.976E-02  1.361E-02  3.987E-04  0.000E+00  0.000E+00  0.000E+00  5.321E-01  5.321E-01
 109  4.044E+02   0.000E+00  9.254E-02  1.979E-02  1.368E-02  4.089E-04  0.000E+00  0.000E+00  0.000E+00  5.348E-01  5.348E-01
 110  3.656E+02   0.000E+00  9.291E-02  1.980E-02  1.374E-02  4.191E-04  0.000E+00  0.000E+00  0.000E+00  5.371E-01  5.371E-01
 111  3.308E+02   0.000E+00  9.325E-02  1.980E-02  1.379E-02  4.292E-04  0.000E+00  0.000E+00  0.000E+00  5.388E-01  5.388E-01
 112  2.991E+02   0.000E+00  9.356E-02  1.978E-02  1.382E-02  4.393E-04  0.000E+00  0.000E+00  0.000E+00  5.401E-01  5.401E-01
 113  2.705E+02   0.000E+00  9.384E-02  1.974E-02  1.385E-02  4.493E-04  0.000E+00  0.000E+00  0.000E+00  5.410E-01  5.410E-01
 114  2.447E+02   0.000E+00  9.410E-02  1.970E-02  1.387E-02  4.593E-04  0.000E+00  0.000E+00  0.000E+00  5.415E-01  5.415E-01
 115  2.213E+02   0.000E+00  9.433E-02  1.964E-02  1.388E-02  4.693E-04  0.000E+00  0.000E+00  0.000E+00  5.416E-01  5.416E-01
 116  2.001E+02   0.000E+00  9.454E-02  1.958E-02  1.388E-02  4.792E-04  0.000E+00  0.000E+00  0.000E+00  5.415E-01  5.415E-01
 117  1.811E+02   0.000E+00  9.473E-02  1.951E-02  1.388E-02  4.891E-04  0.000E+00  0.000E+00  0.000E+00  5.411E-01  5.411E-01
 118  1.638E+02   0.000E+00  9.490E-02  1.943E-02  1.387E-02  4.989E-04  0.000E+00  0.000E+00  0.000E+00  5.405E-01  5.405E-01
 119  1.482E+02   0.000E+00  9.505E-02  1.935E-02  1.385E-02  5.085E-04  0.000E+00  0.000E+00  0.000E+00  5.398E-01  5.398E-01
 120  1.340E+02   0.000E+00  9.519E-02  1.927E-02  1.384E-02  5.180E-04  0.000E+00  0.000E+00  0.000E+00  5.389E-01  5.389E-01
 121  1.212E+02   0.000E+00  9.532E-02  1.918E-02  1.382E-02  5.270E-04  0.000E+00  0.000E+00  0.000E+00  5.379E-01  5.379E-01
 122  1.096E+02   0.000E+00  9.544E-02  1.909E-02  1.379E-02  5.357E-04  0.000E+00  0.000E+00  0.000E+00  5.368E-01  5.368E-01
 123  9.912E+01   0.000E+00  9.554E-02  1.901E-02  1.377E-02  5.440E-04  0.000E+00  0.000E+00  0.000E+00  5.356E-01  5.356E-01
 124  8.963E+01   0.000E+00  9.564E-02  1.892E-02  1.374E-02  5.519E-04  0.000E+00  0.000E+00  0.000E+00  5.345E-01  5.345E-01
 125  8.112E+01   0.000E+00  9.573E-02  1.884E-02  1.371E-02  5.593E-04  0.000E+00  0.000E+00  0.000E+00  5.332E-01  5.332E-01
 126  7.338E+01   0.000E+00  9.580E-02  1.875E-02  1.369E-02  5.662E-04  0.000E+00  0.000E+00  0.000E+00  5.320E-01  5.320E-01
 127  6.637E+01   0.000E+00  9.587E-02  1.867E-02  1.366E-02  5.726E-04  0.000E+00  0.000E+00  0.000E+00  5.307E-01  5.307E-01
 128  6.001E+01   0.000E+00  9.594E-02  1.859E-02  1.363E-02  5.786E-04  0.000E+00  0.000E+00  0.000E+00  5.295E-01  5.295E-01
 129  5.430E+01   0.000E+00  9.600E-02  1.852E-02  1.360E-02  5.841E-04  0.000E+00  0.000E+00  0.000E+00  5.283E-01  5.283E-01
 130  4.908E+01   0.000E+00  9.605E-02  1.844E-02  1.357E-02  5.893E-04  0.000E+00  0.000E+00  0.000E+00  5.270E-01  5.270E-01
 131  4.441E+01   0.000E+00  9.610E-02  1.838E-02  1.355E-02  5.943E-04  0.000E+00  0.000E+00  0.000E+00  5.259E-01  5.259E-01
 132  4.019E+01   0.000E+00  9.614E-02  1.830E-02  1.352E-02  5.991E-04  0.000E+00  0.000E+00  0.000E+00  5.246E-01  5.246E-01
 133  3.635E+01   0.000E+00  9.618E-02  1.824E-02  1.349E-02  6.038E-04  0.000E+00  0.000E+00  0.000E+00  5.235E-01  5.235E-01
 134  3.288E+01   0.000E+00  9.621E-02  1.818E-02  1.347E-02  6.086E-04  0.000E+00  0.000E+00  0.000E+00  5.224E-01  5.224E-01
 135  2.974E+01   0.000E+00  9.624E-02  1.812E-02  1.344E-02  6.133E-04  0.000E+00  0.000E+00  0.000E+00  5.213E-01  5.213E-01
 136  2.692E+01   0.000E+00  9.627E-02  1.806E-02  1.342E-02  6.182E-04  0.000E+00  0.000E+00  0.000E+00  5.202E-01  5.202E-01
 137  2.433E+01   0.000E+00  9.630E-02  1.800E-02  1.340E-02  6.232E-04  0.000E+00  0.000E+00  0.000E+00  5.192E-01  5.192E-01
 138  1.752E+01   0.000E+00  9.637E-02  1.783E-02  1.333E-02  6.407E-04  0.000E+00  0.000E+00  0.000E+00  5.161E-01  5.161E-01
 139  1.251E+01   0.000E+00  9.642E-02  1.769E-02  1.327E-02  6.591E-04  0.000E+00  0.000E+00  0.000E+00  5.133E-01  5.133E-01
 140  8.952E+00   0.000E+00  9.646E-02  1.757E-02  1.323E-02  6.766E-04  8.292E-38  3.316E-37  1.244E-36  5.111E-01  5.111E-01
 141  6.407E+00   0.000E+00  9.648E-02  1.748E-02  1.320E-02  6.917E-04  6.072E-30  2.402E-29  9.049E-29  5.093E-01  5.093E-01
 142  4.584E+00   0.000E+00  9.650E-02  1.741E-02  1.318E-02  7.054E-04  7.046E-24  2.715E-23  1.034E-22  5.079E-01  5.079E-01
 143  3.283E+00   0.000E+00  9.651E-02  1.736E-02  1.316E-02  7.215E-04  6.320E-19  2.302E-18  8.979E-18  5.068E-01  5.068E-01
 144  2.351E+00   0.000E+00  9.652E-02  1.732E-02  1.316E-02  7.429E-04  7.823E-15  2.731E-14  1.085E-13  5.061E-01  5.061E-01
 145  1.684E+00   0.000E+00  9.653E-02  1.729E-02  1.318E-02  7.736E-04  2.107E-11  6.393E-11  2.710E-10  5.055E-01  5.055E-01
 146  1.207E+00   0.000E+00  9.654E-02  1.726E-02  1.321E-02  8.176E-04  4.352E-09  1.119E-08  5.152E-08  5.051E-01  5.051E-01
 147  8.644E-01   0.000E+00  9.654E-02  1.725E-02  1.326E-02  8.779E-04  1.155E-07  2.628E-07  1.291E-06  5.048E-01  5.048E-01
 148  6.189E-01   0.000E+00  9.654E-02  1.724E-02  1.334E-02  9.596E-04  8.010E-07  1.709E-06  8.705E-06  5.045E-01  5.045E-01
 149  4.433E-01   2.189E-38  9.655E-02  1.723E-02  1.342E-02  1.046E-03  2.204E-06  4.653E-06  2.385E-05  5.044E-01  5.044E-01
 150  3.176E-01   7.239E-32  9.655E-02  1.722E-02  1.348E-02  1.110E-03  3.623E-06  7.839E-06  3.962E-05  5.042E-01  5.042E-01
 151  2.273E-01   1.225E-26  9.655E-02  1.722E-02  1.351E-02  1.144E-03  4.574E-06  1.031E-05  5.092E-05  5.042E-01  5.042E-01
 152  1.626E-01   1.318E-22  9.655E-02  1.721E-02  1.353E-02  1.159E-03  5.126E-06  1.203E-05  5.814E-05  5.041E-01  5.041E-01
 153  1.163E-01   8.130E-19  9.655E-02  1.721E-02  1.353E-02  1.167E-03  5.492E-06  1.336E-05  6.333E-05  5.041E-01  5.041E-01
 154  8.334E-02   2.501E-15  9.655E-02  1.721E-02  1.354E-02  1.172E-03  5.782E-06  1.449E-05  6.760E-05  5.040E-01  5.040E-01
 155  5.961E-02   9.998E-13  9.655E-02  1.721E-02  1.354E-02  1.176E-03  6.064E-06  1.560E-05  7.179E-05  5.040E-01  5.040E-01
 156  4.263E-02   7.527E-11  9.655E-02  1.721E-02  1.355E-02  1.182E-03  6.392E-06  1.690E-05  7.668E-05  5.040E-01  5.040E-01
 157  3.049E-02   1.741E-09  9.655E-02  1.721E-02  1.355E-02  1.189E-03  6.813E-06  1.857E-05  8.297E-05  5.040E-01  5.040E-01
 158  2.183E-02   1.745E-08  9.655E-02  1.721E-02  1.357E-02  1.201E-03  7.347E-06  2.070E-05  9.097E-05  5.040E-01  5.040E-01
 159  1.562E-02   1.023E-07  9.655E-02  1.721E-02  1.359E-02  1.221E-03  8.050E-06  2.351E-05  1.015E-04  5.040E-01  5.040E-01
 160  1.119E-02   4.135E-07  9.655E-02  1.721E-02  1.362E-02  1.255E-03  9.038E-06  2.746E-05  1.163E-04  5.040E-01  5.040E-01
 161  8.025E-03   1.425E-06  9.655E-02  1.721E-02  1.368E-02  1.315E-03  1.088E-05  3.481E-05  1.439E-04  5.040E-01  5.040E-01
 162  5.761E-03   3.930E-06  9.655E-02  1.721E-02  1.378E-02  1.413E-03  1.468E-05  5.004E-05  2.010E-04  5.039E-01  5.039E-01
 163  4.146E-03   9.110E-06  9.655E-02  1.721E-02  1.394E-02  1.579E-03  2.292E-05  8.298E-05  3.245E-04  5.039E-01  5.039E-01
 164  2.990E-03   1.739E-05  9.655E-02  1.721E-02  1.420E-02  1.841E-03  3.802E-05  1.434E-04  5.510E-04  5.039E-01  5.039E-01
 165  2.165E-03   2.860E-05  9.655E-02  1.721E-02  1.459E-02  2.224E-03  6.201E-05  2.394E-04  9.108E-04  5.039E-01  5.039E-01
 166  1.574E-03   4.176E-05  9.655E-02  1.721E-02  1.509E-02  2.727E-03  9.492E-05  3.710E-04  1.404E-03  5.039E-01  5.039E-01
 167  1.147E-03   5.571E-05  9.655E-02  1.721E-02  1.569E-02  3.325E-03  1.348E-04  5.306E-04  2.003E-03  5.039E-01  5.039E-01
 168  8.397E-04   6.999E-05  9.655E-02  1.721E-02  1.635E-02  3.987E-03  1.797E-04  7.101E-04  2.675E-03  5.039E-01  5.039E-01
 169  6.166E-04   8.394E-05  9.655E-02  1.721E-02  1.701E-02  4.644E-03  2.246E-04  8.895E-04  3.348E-03  5.039E-01  5.039E-01
 170  4.545E-04   9.848E-05  9.655E-02  1.721E-02  1.764E-02  5.280E-03  2.683E-04  1.064E-03  4.004E-03  5.039E-01  5.039E-01
 171  3.360E-04   1.137E-04  9.655E-02  1.721E-02  1.822E-02  5.853E-03  3.078E-04  1.223E-03  4.597E-03  5.039E-01  5.039E-01
 172  2.491E-04   1.296E-04  9.655E-02  1.721E-02  1.872E-02  6.354E-03  3.425E-04  1.361E-03  5.117E-03  5.039E-01  5.039E-01
 173  1.849E-04   1.448E-04  9.655E-02  1.721E-02  1.913E-02  6.763E-03  3.708E-04  1.474E-03  5.541E-03  5.039E-01  5.039E-01
