Index   TEMPERATURE   DENSITY    PRESSURE    DIFFUSION  
 145     1034.0      1.180E+16  1.684E+00    1.311E+10
 146     1030.0      8.487E+15  1.207E+00    1.397E+10
 147     1026.0      6.104E+15  8.644E-01    1.479E+10
 148     1022.0      4.387E+15  6.189E-01    1.556E+10
 149     1018.0      3.155E+15  4.433E-01    1.622E+10
 150     1012.0      2.274E+15  3.176E-01    1.673E+10
 151     1003.0      1.642E+15  2.273E-01    1.700E+10
 152      992.3      1.187E+15  1.626E-01    1.705E+10
 153      981.2      8.587E+14  1.163E-01    1.698E+10
 154      968.7      6.231E+14  8.334E-02    1.703E+10
 155      954.7      4.522E+14  5.961E-02    1.721E+10
 156      939.6      3.286E+14  4.263E-02    1.712E+10
 157      924.5      2.389E+14  3.049E-02    1.700E+10
 158      910.5      1.736E+14  2.183E-02    1.689E+10
 159      897.2      1.261E+14  1.562E-02    1.659E+10
 160      885.8      9.149E+13  1.119E-02    1.644E+10
 161      876.7      6.630E+13  8.025E-03    1.592E+10
 162      869.7      4.798E+13  5.761E-03    1.428E+10
 163      864.9      3.472E+13  4.146E-03    1.270E+10
 164      861.9      2.513E+13  2.991E-03    1.115E+10
 165      860.5      1.823E+13  2.166E-03    1.000E+10
 166      860.6      1.325E+13  1.575E-03    1.000E+10
 167      862.1      9.645E+12  1.148E-03    1.000E+10
 168      864.9      7.039E+12  8.405E-04    1.000E+10
 169      868.8      5.145E+12  6.172E-04    1.000E+10
 170      874.4      3.768E+12  4.549E-04    1.000E+10
 171      882.3      2.761E+12  3.363E-04    1.000E+10
 172      893.4      2.021E+12  2.493E-04    1.000E+10
 173      909.4      1.474E+12  1.851E-04    1.000E+10
 174      932.6      1.071E+12  1.379E-04    1.000E+10
 175      966.6      7.705E+11  1.028E-04    1.000E+10
 176     1018.0      5.468E+11  7.686E-05    1.000E+10
 177     1097.0      3.802E+11  5.758E-05    1.000E+10
 178     1226.0      2.560E+11  4.334E-05    1.000E+10
 179     1454.0      1.638E+11  3.288E-05    1.000E+10
 180     1911.0      9.599E+10  2.533E-05    1.000E+10
 181     3101.0      4.682E+10  2.005E-05    1.000E+10
 182     7389.0      1.577E+10  1.608E-05    1.000E+10
 183     8411.0      9.845E+09  1.143E-05    1.000E+10
 184     9449.0      6.217E+09  8.110E-06    1.000E+10
