Index   PRESSURE   C6H6       O          O_1       O2         OH         H2O        CO         CO2        HCO        H2CO    
  59   6.020E+04   1.281E-03  6.399E+04  1.197E-02  2.690E+01  2.634E+10  2.171E+17  1.294E+16  4.350E+12  3.221E+09  2.886E+11
  60   5.446E+04   1.397E-03  5.731E+04  1.030E-02  2.391E+01  2.348E+10  1.952E+17  1.339E+16  4.492E+12  3.071E+09  2.704E+11
  61   4.926E+04   1.537E-03  5.253E+04  9.169E-03  2.170E+01  2.117E+10  1.751E+17  1.394E+16  4.649E+12  2.969E+09  2.548E+11
  62   4.460E+04   1.737E-03  5.052E+04  8.732E-03  2.061E+01  1.960E+10  1.566E+17  1.469E+16  4.844E+12  2.955E+09  2.432E+11
  63   4.036E+04   1.999E-03  5.097E+04  8.897E-03  2.044E+01  1.860E+10  1.392E+17  1.565E+16  5.065E+12  3.018E+09  2.344E+11
  64   3.651E+04   2.321E-03  5.388E+04  9.688E-03  2.113E+01  1.807E+10  1.231E+17  1.678E+16  5.292E+12  3.151E+09  2.272E+11
  65   3.303E+04   2.638E-03  5.817E+04  1.088E-02  2.223E+01  1.774E+10  1.083E+17  1.790E+16  5.469E+12  3.300E+09  2.191E+11
  66   2.991E+04   2.833E-03  6.114E+04  1.177E-02  2.274E+01  1.715E+10  9.529E+16  1.874E+16  5.551E+12  3.365E+09  2.075E+11
  67   2.704E+04   2.721E-03  5.811E+04  1.108E-02  2.108E+01  1.568E+10  8.406E+16  1.911E+16  5.527E+12  3.238E+09  1.914E+11
  68   2.448E+04   2.525E-03  5.513E+04  1.041E-02  1.946E+01  1.431E+10  7.410E+16  1.934E+16  5.451E+12  3.093E+09  1.754E+11
  69   2.215E+04   2.315E-03  5.478E+04  1.045E-02  1.873E+01  1.337E+10  6.492E+16  1.959E+16  5.342E+12  3.005E+09  1.608E+11
  70   2.004E+04   2.070E-03  5.829E+04  1.155E-02  1.915E+01  1.294E+10  5.635E+16  1.992E+16  5.190E+12  2.997E+09  1.477E+11
  71   1.815E+04   1.841E-03  6.968E+04  1.506E-02  2.178E+01  1.332E+10  4.838E+16  2.028E+16  4.969E+12  3.112E+09  1.359E+11
  72   1.642E+04   1.491E-03  8.476E+04  2.016E-02  2.512E+01  1.380E+10  4.131E+16  2.042E+16  4.680E+12  3.218E+09  1.236E+11
  73   1.487E+04   1.117E-03  1.028E+05  2.686E-02  2.887E+01  1.429E+10  3.529E+16  2.023E+16  4.340E+12  3.272E+09  1.106E+11
  74   1.346E+04   7.662E-04  1.189E+05  3.345E-02  3.176E+01  1.442E+10  3.028E+16  1.971E+16  3.983E+12  3.218E+09  9.733E+10
  75   1.217E+04   4.891E-04  1.284E+05  3.783E-02  3.284E+01  1.405E+10  2.616E+16  1.892E+16  3.635E+12  3.048E+09  8.441E+10
  76   1.102E+04   3.070E-04  1.360E+05  4.158E-02  3.347E+01  1.357E+10  2.275E+16  1.795E+16  3.303E+12  2.835E+09  7.245E+10
  77   9.969E+03   1.866E-04  1.349E+05  4.161E-02  3.214E+01  1.267E+10  1.992E+16  1.688E+16  3.003E+12  2.553E+09  6.161E+10
  78   9.020E+03   1.108E-04  1.281E+05  3.917E-02  2.971E+01  1.157E+10  1.755E+16  1.577E+16  2.734E+12  2.253E+09  5.211E+10
  79   8.164E+03   6.657E-05  1.221E+05  3.699E-02  2.763E+01  1.060E+10  1.551E+16  1.467E+16  2.485E+12  1.979E+09  4.388E+10
  80   7.385E+03   3.890E-05  1.139E+05  3.386E-02  2.521E+01  9.601E+09  1.374E+16  1.359E+16  2.258E+12  1.718E+09  3.679E+10
  81   6.685E+03   2.354E-05  1.116E+05  3.319E-02  2.422E+01  8.953E+09  1.219E+16  1.255E+16  2.044E+12  1.510E+09  3.076E+10
  82   6.047E+03   1.389E-05  1.070E+05  3.154E-02  2.283E+01  8.256E+09  1.084E+16  1.155E+16  1.851E+12  1.313E+09  2.562E+10
  83   5.474E+03   8.440E-06  1.054E+05  3.104E-02  2.212E+01  7.732E+09  9.657E+15  1.061E+16  1.674E+12  1.147E+09  2.130E+10
  84   4.951E+03   5.018E-06  9.908E+04  2.867E-02  2.052E+01  7.064E+09  8.628E+15  9.730E+15  1.518E+12  9.855E+08  1.767E+10
  85   4.481E+03   3.090E-06  9.335E+04  2.651E-02  1.912E+01  6.468E+09  7.729E+15  8.907E+15  1.378E+12  8.458E+08  1.465E+10
  86   4.055E+03   1.935E-06  8.601E+04  2.376E-02  1.746E+01  5.854E+09  6.941E+15  8.144E+15  1.253E+12  7.194E+08  1.213E+10
  87   3.667E+03   1.253E-06  7.745E+04  2.062E-02  1.561E+01  5.233E+09  6.243E+15  7.435E+15  1.141E+12  6.063E+08  1.002E+10
  88   3.316E+03   8.356E-07  6.813E+04  1.731E-02  1.365E+01  4.621E+09  5.626E+15  6.781E+15  1.042E+12  5.065E+08  8.277E+09
  89   3.001E+03   5.896E-07  5.996E+04  1.453E-02  1.196E+01  4.086E+09  5.081E+15  6.185E+15  9.522E+11  4.232E+08  6.840E+09
  90   2.716E+03   4.423E-07  5.278E+04  1.220E-02  1.049E+01  3.614E+09  4.593E+15  5.635E+15  8.701E+11  3.532E+08  5.646E+09
  91   2.457E+03   3.331E-07  4.421E+04  9.558E-03  8.770E+00  3.110E+09  4.159E+15  5.136E+15  7.986E+11  2.902E+08  4.663E+09
  92   2.222E+03   2.653E-07  3.700E+04  7.476E-03  7.330E+00  2.675E+09  3.767E+15  4.676E+15  7.330E+11  2.381E+08  3.846E+09
  93   2.011E+03   2.213E-07  3.092E+04  5.838E-03  6.120E+00  2.301E+09  3.418E+15  4.259E+15  6.733E+11  1.954E+08  3.177E+09
  94   1.819E+03   1.878E-07  2.517E+04  4.393E-03  4.981E+00  1.951E+09  3.103E+15  3.878E+15  6.198E+11  1.589E+08  2.622E+09
  95   1.646E+03   1.657E-07  2.044E+04  3.296E-03  4.048E+00  1.652E+09  2.818E+15  3.531E+15  5.707E+11  1.291E+08  2.163E+09
