Index PRESSURE   H          HE         H2         C          CH         CH2_1     CH2_3     CH3        CH4        C2      
 111  2.196E+02   3.038E+13  1.737E+17  8.977E+17  4.835E-02  1.703E+00  2.269E+02  1.004E+04  3.424E+08  4.947E+11  1.068E-07
 112  1.986E+02   2.395E+13  1.588E+17  8.208E+17  2.642E-02  9.887E-01  1.459E+02  6.669E+03  2.693E+08  4.517E+11  5.457E-08
 113  1.797E+02   1.903E+13  1.452E+17  7.503E+17  1.485E-02  5.882E-01  9.553E+01  4.505E+03  2.133E+08  4.123E+11  2.872E-08
 114  1.624E+02   1.488E+13  1.327E+17  6.858E+17  7.879E-03  3.330E-01  6.027E+01  2.941E+03  1.664E+08  3.764E+11  1.419E-08
 115  1.469E+02   1.173E+13  1.213E+17  6.268E+17  4.306E-03  1.934E-01  3.876E+01  1.954E+03  1.307E+08  3.435E+11  7.236E-09
 116  1.329E+02   9.329E+12  1.108E+17  5.727E+17  2.431E-03  1.154E-01  2.543E+01  1.322E+03  1.037E+08  3.135E+11  3.831E-09
 117  1.202E+02   7.397E+12  1.012E+17  5.231E+17  1.357E-03  6.821E-02  1.657E+01  8.891E+02  8.195E+07  2.859E+11  2.016E-09
 118  1.087E+02   5.921E+12  9.241E+16  4.777E+17  7.847E-04  4.154E-02  1.103E+01  6.101E+02  6.538E+07  2.607E+11  1.104E-09
 119  9.839E+01   4.788E+12  8.436E+16  4.360E+17  4.709E-04  2.610E-02  7.522E+00  4.278E+02  5.269E+07  2.376E+11  6.312E-10
 120  8.897E+01   3.866E+12  7.696E+16  3.978E+17  2.815E-04  1.634E-02  5.112E+00  2.992E+02  4.239E+07  2.164E+11  3.635E-10
 121  8.048E+01   3.155E+12  7.018E+16  3.628E+17  1.750E-04  1.058E-02  3.562E+00  2.141E+02  3.448E+07  1.971E+11  2.201E-10
 122  7.280E+01   2.604E+12  6.396E+16  3.306E+17  1.135E-04  7.093E-03  2.548E+00  1.569E+02  2.835E+07  1.793E+11  1.417E-10
 123  6.584E+01   2.156E+12  5.828E+16  3.012E+17  7.436E-05  4.800E-03  1.834E+00  1.158E+02  2.338E+07  1.630E+11  9.534E-11
 124  5.958E+01   1.822E+12  5.306E+16  2.743E+17  5.273E-05  3.471E-03  1.388E+00  8.940E+01  1.969E+07  1.481E+11  7.220E-11
