Index  PRESSURE   C4H8       C4H9       C4H10      C5H3       C5H4       C6H2       C6H3       C6H4       C6H5       LC6H6   
  94  1.208E+03   5.653E-09  8.693E-15  6.322E-12  7.948E-11  5.373E-11  4.664E-15  8.596E-21  3.227E-16  1.262E-16  2.932E-18
  95  1.093E+03   3.484E-09  4.894E-15  3.739E-12  4.658E-11  3.236E-11  2.622E-15  4.556E-21  1.793E-16  7.325E-17  1.595E-18
  96  9.889E+02   2.235E-09  2.878E-15  2.292E-12  2.931E-11  2.080E-11  1.606E-15  2.632E-21  1.079E-16  4.567E-17  9.334E-19
  97  8.941E+02   1.461E-09  1.716E-15  1.439E-12  1.839E-11  1.344E-11  9.788E-16  1.510E-21  6.515E-17  2.885E-17  5.524E-19
  98  8.089E+02   9.963E-10  1.071E-15  9.384E-13  1.242E-11  9.288E-12  6.523E-16  9.478E-22  4.274E-17  1.965E-17  3.530E-19
  99  7.321E+02   7.098E-10  7.011E-16  6.366E-13  9.060E-12  6.892E-12  4.772E-16  6.528E-22  3.056E-17  1.448E-17  2.444E-19
 100  6.622E+02   5.153E-10  4.654E-16  4.425E-13  6.584E-12  5.134E-12  3.468E-16  4.459E-22  2.191E-17  1.079E-17  1.709E-19
 101  5.989E+02   3.863E-10  3.189E-16  3.178E-13  4.968E-12  3.974E-12  2.635E-16  3.179E-22  1.644E-17  8.430E-18  1.252E-19
 102  5.419E+02   2.975E-10  2.244E-16  2.348E-13  3.861E-12  3.172E-12  2.071E-16  2.343E-22  1.278E-17  6.833E-18  9.519E-20
 103  4.902E+02   2.314E-10  1.588E-16  1.764E-13  2.947E-12  2.509E-12  1.589E-16  1.680E-22  9.800E-18  5.516E-18  7.193E-20
 104  4.432E+02   1.808E-10  1.123E-16  1.339E-13  2.198E-12  1.956E-12  1.183E-16  1.164E-22  7.368E-18  4.409E-18  5.371E-20
 105  4.010E+02   1.433E-10  8.053E-17  1.033E-13  1.656E-12  1.543E-12  8.879E-17  8.113E-23  5.603E-18  3.572E-18  4.066E-20
 106  3.630E+02   1.147E-10  5.829E-17  8.067E-14  1.259E-12  1.231E-12  6.719E-17  5.680E-23  4.308E-18  2.928E-18  3.114E-20
 107  3.282E+02   8.954E-11  4.076E-17  6.224E-14  8.755E-13  9.138E-13  4.535E-17  3.515E-23  3.018E-18  2.231E-18  2.206E-20
 108  2.968E+02   7.009E-11  2.855E-17  4.821E-14  6.092E-13  6.801E-13  3.042E-17  2.150E-23  2.111E-18  1.699E-18  2.258E-21
 109  2.685E+02   5.480E-11  1.996E-17  3.740E-14  4.211E-13  5.042E-13  2.008E-17  1.284E-23  1.461E-18  1.280E-18  1.286E-21
 110  2.429E+02   4.215E-11  1.365E-17  2.879E-14  2.775E-13  3.604E-13  1.235E-17  7.059E-24  9.572E-19  9.223E-19  6.793E-22
 111  2.196E+02   3.224E-11  9.267E-18  2.206E-14  1.823E-13  2.573E-13  7.448E-18  3.761E-24  6.204E-19  6.555E-19  3.504E-22
 112  1.986E+02   2.423E-11  6.163E-18  1.680E-14  1.145E-13  1.778E-13  4.160E-18  1.824E-24  3.800E-19  4.440E-19  1.665E-22
 113  1.797E+02   1.831E-11  4.116E-18  1.277E-14  7.490E-14  1.272E-13  2.385E-18  8.982E-25  2.402E-19  3.046E-19  8.116E-23
 114  1.624E+02   1.364E-11  2.710E-18  9.696E-15  4.792E-14  9.012E-14  1.288E-18  4.070E-25  1.467E-19  2.026E-19  3.687E-23
 115  1.469E+02   1.024E-11  1.798E-18  7.369E-15  3.226E-14  6.673E-14  7.180E-19  1.880E-25  9.384E-20  1.372E-19  1.727E-23
 116  1.329E+02   7.763E-12  1.207E-18  5.622E-15  2.298E-14  5.196E-14  4.179E-19  8.967E-26  6.372E-20  9.559E-20  8.422E-24
 117  1.202E+02   5.914E-12  8.181E-19  4.333E-15  1.691E-14  4.190E-14  2.457E-19  4.247E-26  4.534E-20  6.778E-20  4.100E-24
 118  1.087E+02   4.547E-12  5.605E-19  3.348E-15  1.311E-14  3.532E-14  1.511E-19  2.087E-26  3.501E-20  4.946E-20  2.081E-24
 119  9.839E+01   3.535E-12  3.888E-19  2.596E-15  1.069E-14  3.108E-14  9.769E-20  1.073E-26  2.972E-20  3.732E-20  1.107E-24
 120  8.897E+01   2.790E-12  2.765E-19  2.058E-15  9.079E-15  2.858E-14  6.578E-20  5.673E-27  2.803E-20  2.950E-20  6.015E-25
 121  8.048E+01   2.237E-12  2.009E-19  1.648E-15  8.139E-15  2.748E-14  4.754E-20  3.217E-27  2.970E-20  2.459E-20  3.469E-25
 122  7.280E+01   1.837E-12  1.513E-19  1.346E-15  7.808E-15  2.801E-14  3.786E-20  2.013E-27  3.577E-20  2.223E-20  2.165E-25
 123  6.584E+01   1.585E-12  1.234E-19  1.177E-15  8.129E-15  3.119E-14  3.415E-20  1.422E-27  5.084E-20  2.300E-20  1.469E-25
 124  5.958E+01   1.416E-12  1.065E-19  1.053E-15  9.497E-15  3.792E-14  3.671E-20  1.212E-27  8.519E-20  2.806E-20  1.159E-25
 125  5.390E+01   1.358E-12  1.036E-19  1.043E-15  1.250E-14  5.229E-14  4.748E-20  1.243E-27  1.828E-19  4.366E-20  1.040E-25
 126  4.874E+01   1.398E-12  1.143E-19  1.152E-15  1.858E-14  8.194E-14  7.428E-20  1.543E-27  4.958E-19  8.502E-20  1.066E-25
 127  4.408E+01   1.513E-12  1.374E-19  1.362E-15  3.070E-14  1.412E-13  1.369E-19  2.276E-27  1.487E-18  1.853E-19  1.255E-25
 128  3.987E+01   1.692E-12  1.743E-19  1.685E-15  5.427E-14  2.577E-13  2.805E-19  3.780E-27  4.411E-18  4.104E-19  1.641E-25
 129  3.608E+01   1.922E-12  2.255E-19  2.116E-15  9.904E-14  4.805E-13  6.048E-19  6.691E-27  1.222E-17  8.779E-19  2.297E-25
 130  3.264E+01   2.234E-12  2.955E-19  2.749E-15  1.784E-13  8.955E-13  1.293E-18  1.186E-26  3.061E-17  1.753E-18  3.277E-25
 131  2.953E+01   2.585E-12  3.783E-19  3.484E-15  3.189E-13  1.639E-12  2.735E-18  2.110E-26  6.989E-17  3.309E-18  4.789E-25
 132  2.672E+01   2.937E-12  4.596E-19  4.182E-15  5.488E-13  2.857E-12  5.464E-18  3.597E-26  1.419E-16  5.799E-18  6.954E-25
 133  2.417E+01   3.392E-12  5.510E-19  5.056E-15  9.053E-13  4.853E-12  1.040E-17  5.930E-26  2.634E-16  9.637E-18  1.003E-24
 134  2.188E+01   3.859E-12  6.284E-19  5.783E-15  1.441E-12  7.875E-12  1.880E-17  9.438E-26  4.441E-16  1.517E-17  2.188E-21
 135  1.980E+01   4.310E-12  6.787E-19  6.216E-15  2.213E-12  1.219E-11  3.225E-17  1.449E-25  6.839E-16  2.271E-17  3.306E-21
 136  1.793E+01   4.728E-12  6.964E-19  6.283E-15  3.282E-12  1.803E-11  5.272E-17  2.154E-25  9.714E-16  3.260E-17  4.875E-21
 137  1.621E+01   5.284E-12  7.063E-19  6.381E-15  4.708E-12  2.618E-11  8.341E-17  3.141E-25  1.301E-15  4.555E-17  7.242E-21
 138  1.467E+01   5.729E-12  6.749E-19  6.015E-15  6.527E-12  3.615E-11  1.255E-16  4.407E-25  1.617E-15  6.069E-17  1.039E-20
 139  1.328E+01   6.273E-12  6.351E-19  5.656E-15  8.761E-12  4.885E-11  1.830E-16  6.051E-25  1.904E-15  7.831E-17  1.490E-20
 140  1.201E+01   6.684E-12  5.674E-19  4.969E-15  1.151E-11  6.349E-11  2.589E-16  8.142E-25  2.105E-15  9.694E-17  2.087E-20
 141  1.087E+01   6.973E-12  4.851E-19  4.122E-15  1.487E-11  7.986E-11  3.601E-16  1.089E-24  2.204E-15  1.159E-16  2.879E-20
 142  7.742E+00   7.494E-12  2.387E-19  1.862E-15  3.095E-11  1.492E-10  9.596E-16  2.608E-24  2.138E-15  1.707E-16  7.818E-20
 143  5.562E+00   6.413E-12  8.305E-20  5.855E-16  5.478E-11  2.080E-10  2.173E-15  5.787E-22  2.024E-15  1.684E-16  1.691E-19
 144  4.003E+00   3.793E-12  1.877E-20  1.249E-16  8.940E-11  2.111E-10  4.482E-15  1.070E-21  2.949E-15  1.022E-16  2.674E-19
 145  2.883E+00   1.640E-12  3.294E-21  2.300E-17  1.335E-10  1.641E-10  8.330E-15  1.629E-21  5.185E-15  4.239E-17  3.150E-19
 146  2.077E+00   5.356E-13  5.044E-22  3.540E-18  1.802E-10  9.983E-11  1.428E-14  2.123E-21  7.839E-15  1.302E-17  2.851E-19
 147  1.499E+00   1.461E-13  7.409E-23  4.805E-19  2.134E-10  5.142E-11  2.212E-14  2.452E-21  9.488E-15  3.416E-18  2.096E-19
 148  1.081E+00   3.495E-14  1.166E-23  6.139E-20  2.239E-10  2.531E-11  2.885E-14  2.460E-21  9.425E-15  8.465E-19  1.245E-19
 149  7.792E-01   6.442E-15  1.623E-24  6.487E-21  1.923E-10  1.119E-11  2.816E-14  1.918E-21  6.816E-15  1.777E-19  5.011E-20
 150  5.611E-01   7.300E-16  1.571E-25  4.261E-22  1.067E-10  3.580E-12  1.721E-14  9.854E-22  2.617E-15  2.624E-20  1.024E-20
 151  4.042E-01   3.352E-17  6.840E-27  2.474E-26  2.709E-11  5.160E-13  5.777E-15  2.694E-22  3.189E-16  1.994E-21  6.825E-22
 152  2.912E-01   5.450E-19  1.236E-28  3.741E-28  2.862E-12  3.143E-14  1.076E-15  3.979E-23  1.042E-17  9.260E-23  8.231E-25
 153  2.095E-01   2.853E-21  1.319E-30  1.913E-30  1.219E-13  7.771E-16  1.175E-16  1.130E-25  8.402E-20  4.115E-25  4.815E-27
 154  1.509E-01   7.393E-28  2.069E-32  3.350E-33  1.943E-15  6.895E-18  7.250E-18  5.238E-27  1.519E-22  1.174E-26  6.814E-30
 155  1.086E-01   7.306E-31  4.026E-34  3.216E-36  1.438E-17  2.893E-20  2.309E-19  1.210E-28  8.892E-32  1.596E-28  3.409E-33
 156  8.022E-02   3.724E-33  5.785E-36  0.000E+00  1.009E-19  1.239E-22  3.580E-21  1.343E-30  8.598E-35  1.056E-30  2.376E-36
 157  5.817E-02   3.939E-35  5.813E-38  0.000E+00  9.743E-22  3.488E-28  3.029E-23  7.745E-33  2.315E-37  3.679E-33  0.000E+00
 158  4.228E-02   3.220E-37  0.000E+00  0.000E+00  7.450E-24  1.510E-30  3.224E-31  3.934E-38  0.000E+00  6.513E-36  0.000E+00
 159  3.077E-02   0.000E+00  0.000E+00  0.000E+00  2.860E-31  3.723E-33  7.960E-34  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 160  2.249E-02   0.000E+00  0.000E+00  0.000E+00  6.588E-34  4.552E-36  9.795E-37  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 161  1.644E-02   0.000E+00  0.000E+00  0.000E+00  1.202E-36  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 162  1.201E-02   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 163  8.770E-03   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 164  6.400E-03   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 165  4.671E-03   0.000E+00  0.000E+00  0.000E+00  7.373E-38  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 166  3.409E-03   0.000E+00  0.000E+00  0.000E+00  1.015E-35  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 167  2.492E-03   0.000E+00  0.000E+00  0.000E+00  8.920E-34  1.514E-37  1.904E-38  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 168  1.823E-03   0.000E+00  0.000E+00  0.000E+00  6.231E-32  5.316E-36  2.198E-36  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 169  1.337E-03   4.705E-37  0.000E+00  0.000E+00  3.379E-24  1.656E-34  2.843E-34  5.929E-38  0.000E+00  0.000E+00  0.000E+00
 170  9.812E-04   1.339E-35  3.186E-38  0.000E+00  2.052E-22  3.776E-33  5.593E-26  9.958E-36  6.433E-37  0.000E+00  0.000E+00
 171  7.220E-04   1.492E-34  3.773E-37  0.000E+00  6.555E-21  4.223E-32  3.671E-24  7.094E-34  2.626E-35  0.000E+00  1.745E-37
 172  5.330E-04   6.207E-34  1.674E-36  0.000E+00  8.764E-20  1.766E-31  8.883E-23  1.715E-32  3.495E-34  1.726E-37  1.982E-36
