Index  PRESSURE   C2H        C2H2       C2H3       C2H4       C2H5       C2H6       C3H2       C3H3       CH3C2H     CH2CCH2 
  68  1.630E+04   1.949E+05  1.905E+11  4.444E+07  5.008E+10  9.171E+06  7.704E+08  9.540E+02  1.570E+05  8.713E+05  3.472E+05
  69  1.475E+04   1.581E+05  1.489E+11  3.296E+07  3.565E+10  6.195E+06  4.989E+08  6.891E+02  1.083E+05  5.755E+05  2.293E+05
  70  1.335E+04   1.274E+05  1.155E+11  2.428E+07  2.520E+10  4.157E+06  3.208E+08  4.928E+02  7.403E+04  3.764E+05  1.499E+05
  71  1.207E+04   1.008E+05  8.907E+10  1.773E+07  1.782E+10  2.783E+06  2.073E+08  3.473E+02  5.008E+04  2.451E+05  9.756E+04
  72  1.093E+04   7.932E+04  6.838E+10  1.289E+07  1.255E+10  1.855E+06  1.335E+08  2.431E+02  3.365E+04  1.586E+05  6.310E+04
  73  9.888E+03   6.152E+04  5.237E+10  9.332E+06  8.874E+09  1.240E+06  8.674E+07  1.688E+02  2.253E+04  1.028E+05  4.088E+04
  74  8.946E+03   4.697E+04  3.997E+10  6.717E+06  6.296E+09  8.287E+05  5.684E+07  1.160E+02  1.499E+04  6.671E+04  2.649E+04
  75  8.094E+03   3.537E+04  3.047E+10  4.818E+06  4.494E+09  5.560E+05  3.767E+07  7.914E+01  9.953E+03  4.345E+04  1.724E+04
  76  7.325E+03   2.627E+04  2.322E+10  3.447E+06  3.229E+09  3.747E+05  2.527E+07  5.370E+01  6.603E+03  2.845E+04  1.127E+04
  77  6.626E+03   1.925E+04  1.767E+10  2.458E+06  2.334E+09  2.534E+05  1.714E+07  3.620E+01  4.372E+03  1.871E+04  7.399E+03
  78  5.994E+03   1.391E+04  1.346E+10  1.749E+06  1.700E+09  1.721E+05  1.178E+07  2.427E+01  2.893E+03  1.238E+04  4.887E+03
  79  5.423E+03   9.917E+03  1.025E+10  1.242E+06  1.248E+09  1.176E+05  8.212E+06  1.619E+01  1.915E+03  8.252E+03  3.251E+03
  80  4.906E+03   7.068E+03  7.815E+09  8.824E+05  9.178E+08  8.046E+04  5.734E+06  1.081E+01  1.269E+03  5.508E+03  2.165E+03
  81  4.439E+03   5.020E+03  5.943E+09  6.252E+05  6.735E+08  5.492E+04  3.999E+06  7.188E+00  8.380E+02  3.667E+03  1.437E+03
  82  4.016E+03   3.602E+03  4.512E+09  4.433E+05  4.903E+08  3.728E+04  2.753E+06  4.790E+00  5.521E+02  2.421E+03  9.473E+02
  83  3.633E+03   2.647E+03  3.418E+09  3.150E+05  3.512E+08  2.501E+04  1.844E+06  3.216E+00  3.630E+02  1.575E+03  6.152E+02
  84  3.288E+03   1.990E+03  2.580E+09  2.241E+05  2.470E+08  1.657E+04  1.200E+06  2.170E+00  2.376E+02  1.007E+03  3.929E+02
  85  2.976E+03   1.539E+03  1.950E+09  1.603E+05  1.715E+08  1.089E+04  7.627E+05  1.482E+00  1.559E+02  6.370E+02  2.484E+02
  86  2.690E+03   1.164E+03  1.461E+09  1.134E+05  1.187E+08  7.110E+03  4.853E+05  9.946E-01  1.009E+02  3.999E+02  1.559E+02
  87  2.434E+03   8.860E+02  1.101E+09  8.074E+04  8.282E+07  4.681E+03  3.115E+05  6.736E-01  6.599E+01  2.537E+02  9.883E+01
  88  2.203E+03   6.642E+02  8.296E+08  5.732E+04  5.817E+07  3.097E+03  2.026E+05  4.530E-01  4.306E+01  1.618E+02  6.295E+01
  89  1.994E+03   4.939E+02  6.286E+08  4.083E+04  4.141E+07  2.070E+03  1.343E+05  3.056E-01  2.833E+01  1.047E+02  4.069E+01
  90  1.803E+03   3.573E+02  4.765E+08  2.895E+04  2.994E+07  1.398E+03  9.143E+04  2.041E-01  1.863E+01  6.869E+01  2.664E+01
  91  1.631E+03   2.567E+02  3.641E+08  2.063E+04  2.200E+07  9.564E+02  6.366E+04  1.370E-01  1.239E+01  4.591E+01  1.777E+01
  92  1.476E+03   1.825E+02  2.795E+08  1.474E+04  1.638E+07  6.611E+02  4.518E+04  9.217E-02  8.298E+00  3.112E+01  1.201E+01
  93  1.335E+03   1.280E+02  2.150E+08  1.052E+04  1.232E+07  4.606E+02  3.262E+04  6.178E-02  5.572E+00  2.131E+01  8.205E+00
  94  1.208E+03   9.099E+01  1.679E+08  7.622E+03  9.418E+06  3.260E+02  2.396E+04  4.235E-02  3.826E+00  1.494E+01  5.737E+00
  95  1.093E+03   6.351E+01  1.309E+08  5.495E+03  7.250E+06  2.316E+02  1.784E+04  2.876E-02  2.619E+00  1.052E+01  4.028E+00
  96  9.889E+02   4.617E+01  1.050E+08  4.085E+03  5.704E+06  1.685E+02  1.350E+04  2.048E-02  1.871E+00  7.687E+00  2.935E+00
  97  8.941E+02   3.297E+01  8.404E+07  3.023E+03  4.519E+06  1.231E+02  1.036E+04  1.447E-02  1.333E+00  5.646E+00  2.148E+00
  98  8.089E+02   2.455E+01  6.930E+07  2.309E+03  3.662E+06  9.222E+01  8.090E+03  1.073E-02  9.924E-01  4.309E+00  1.635E+00
  99  7.321E+02   1.911E+01  5.892E+07  1.823E+03  3.039E+06  7.091E+01  6.435E+03  8.384E-03  7.744E-01  3.423E+00  1.295E+00
 100  6.622E+02   1.460E+01  5.000E+07  1.432E+03  2.540E+06  5.475E+01  5.189E+03  6.493E-03  6.023E-01  2.733E+00  1.031E+00
 101  5.989E+02   1.130E+01  4.307E+07  1.142E+03  2.156E+06  4.291E+01  4.255E+03  5.141E-03  4.791E-01  2.233E+00  8.403E-01
 102  5.419E+02   8.832E+00  3.754E+07  9.207E+02  1.855E+06  3.408E+01  3.539E+03  4.141E-03  3.878E-01  1.859E+00  6.974E-01
 103  4.902E+02   6.729E+00  3.249E+07  7.349E+02  1.600E+06  2.705E+01  2.974E+03  3.280E-03  3.104E-01  1.544E+00  5.773E-01
 104  4.432E+02   4.984E+00  2.785E+07  5.788E+02  1.380E+06  2.138E+01  2.517E+03  2.546E-03  2.447E-01  1.274E+00  4.747E-01
 105  4.010E+02   3.692E+00  2.396E+07  4.575E+02  1.199E+06  1.701E+01  2.149E+03  1.988E-03  1.939E-01  1.060E+00  3.933E-01
 106  3.630E+02   2.735E+00  2.067E+07  3.625E+02  1.045E+06  1.359E+01  1.846E+03  1.560E-03  1.544E-01  8.864E-01  3.277E-01
 107  3.282E+02   1.881E+00  1.719E+07  2.750E+02  8.965E+05  1.059E+01  1.582E+03  1.147E-03  1.162E-01  7.135E-01  2.626E-01
 108  2.968E+02   1.286E+00  1.428E+07  2.080E+02  7.694E+05  8.257E+00  1.359E+03  8.435E-04  8.715E-02  5.739E-01  2.103E-01
 109  2.685E+02   8.706E-01  1.180E+07  1.565E+02  6.594E+05  6.422E+00  1.169E+03  6.187E-04  6.493E-02  4.597E-01  1.677E-01
 110  2.429E+02   5.632E-01  9.527E+06  1.147E+02  5.591E+05  4.921E+00  1.004E+03  4.390E-04  4.669E-02  3.594E-01  1.304E-01
 111  2.196E+02   3.601E-01  7.645E+06  8.335E+01  4.721E+05  3.750E+00  8.603E+02  3.119E-04  3.327E-02  2.791E-01  1.007E-01
