Index PRESSURE   CH2OH      CH3O       CH3OH      HCCO       H2CCO      C2H3O      CH3CHO     C2H4OH     HO2        H2O2    
  65  2.200E+04   2.411E+07  6.308E+05  1.207E+09  3.003E+05  3.672E+08  3.721E+05  6.638E+06  9.869E+01  3.122E+01  1.149E+03
  66  1.991E+04   1.906E+07  4.979E+05  9.140E+08  2.459E+05  2.883E+08  2.776E+05  4.735E+06  6.672E+01  2.806E+01  9.876E+02
  67  1.801E+04   1.504E+07  3.922E+05  6.905E+08  2.000E+05  2.249E+08  2.058E+05  3.358E+06  4.482E+01  2.532E+01  8.522E+02
  68  1.630E+04   1.184E+07  3.083E+05  5.209E+08  1.617E+05  1.744E+08  1.516E+05  2.367E+06  2.995E+01  2.294E+01  7.384E+02
  69  1.475E+04   9.306E+06  2.419E+05  3.921E+08  1.300E+05  1.345E+08  1.111E+05  1.660E+06  1.989E+01  2.085E+01  6.419E+02
  70  1.335E+04   7.304E+06  1.896E+05  2.948E+08  1.040E+05  1.032E+08  8.105E+04  1.158E+06  1.315E+01  1.902E+01  5.602E+02
  71  1.207E+04   5.701E+06  1.475E+05  2.219E+08  8.229E+04  7.895E+07  5.883E+04  8.086E+05  8.667E+00  1.711E+01  4.845E+02
  72  1.093E+04   4.449E+06  1.147E+05  1.670E+08  6.488E+04  6.021E+07  4.259E+04  5.630E+05  5.698E+00  1.544E+01  4.205E+02
  73  9.888E+03   3.459E+06  8.877E+04  1.261E+08  5.072E+04  4.591E+07  3.079E+04  3.940E+05  3.748E+00  1.372E+01  3.612E+02
  74  8.946E+03   2.677E+06  6.826E+04  9.545E+07  3.927E+04  3.496E+07  2.221E+04  2.765E+05  2.463E+00  1.200E+01  3.070E+02
  75  8.094E+03   2.065E+06  5.223E+04  7.252E+07  3.018E+04  2.666E+07  1.601E+04  1.951E+05  1.621E+00  1.032E+01  2.583E+02
  76  7.325E+03   1.588E+06  3.978E+04  5.533E+07  2.303E+04  2.035E+07  1.155E+04  1.386E+05  1.070E+00  8.731E+00  2.148E+02
  77  6.626E+03   1.217E+06  3.012E+04  4.236E+07  1.743E+04  1.555E+07  8.327E+03  9.898E+04  7.064E-01  7.257E+00  1.765E+02
  78  5.994E+03   9.285E+05  2.268E+04  3.254E+07  1.309E+04  1.190E+07  6.005E+03  7.115E+04  4.675E-01  5.918E+00  1.432E+02
  79  5.423E+03   7.064E+05  1.701E+04  2.512E+07  9.771E+03  9.131E+06  4.338E+03  5.156E+04  3.104E-01  4.736E+00  1.147E+02
  80  4.906E+03   5.375E+05  1.274E+04  1.941E+07  7.287E+03  7.010E+06  3.134E+03  3.740E+04  2.064E-01  3.785E+00  9.177E+01
  81  4.439E+03   4.084E+05  9.539E+03  1.499E+07  5.423E+03  5.372E+06  2.261E+03  2.709E+04  1.369E-01  3.022E+00  7.340E+01
  82  4.016E+03   3.112E+05  7.174E+03  1.153E+07  4.058E+03  4.107E+06  1.629E+03  1.949E+04  9.055E-02  2.456E+00  5.943E+01
  83  3.633E+03   2.388E+05  5.442E+03  8.798E+06  3.073E+03  3.123E+06  1.169E+03  1.381E+04  5.956E-02  2.072E+00  4.940E+01
  84  3.288E+03   1.844E+05  4.167E+03  6.659E+06  2.354E+03  2.359E+06  8.361E+02  9.629E+03  3.889E-02  1.817E+00  4.218E+01
  85  2.976E+03   1.436E+05  3.224E+03  5.012E+06  1.830E+03  1.776E+06  5.975E+02  6.628E+03  2.537E-02  1.658E+00  3.705E+01
  86  2.690E+03   1.108E+05  2.472E+03  3.761E+06  1.404E+03  1.332E+06  4.243E+02  4.559E+03  1.639E-02  1.482E+00  3.205E+01
  87  2.434E+03   8.588E+04  1.900E+03  2.836E+06  1.081E+03  1.002E+06  3.027E+02  3.153E+03  1.068E-02  1.326E+00  2.777E+01
  88  2.203E+03   6.629E+04  1.455E+03  2.148E+06  8.269E+02  7.569E+05  2.164E+02  2.198E+03  6.976E-03  1.164E+00  2.375E+01
  89  1.994E+03   5.110E+04  1.109E+03  1.636E+06  6.295E+02  5.740E+05  1.552E+02  1.548E+03  4.588E-03  1.001E+00  2.002E+01
  90  1.803E+03   3.906E+04  8.352E+02  1.256E+06  4.724E+02  4.372E+05  1.114E+02  1.105E+03  3.029E-03  8.263E-01  1.641E+01
  91  1.631E+03   2.983E+04  6.266E+02  9.710E+05  3.534E+02  3.353E+05  8.048E+01  7.990E+02  2.020E-03  6.679E-01  1.325E+01
  92  1.476E+03   2.274E+04  4.675E+02  7.556E+05  2.628E+02  2.582E+05  5.830E+01  5.835E+02  1.356E-03  5.284E-01  1.054E+01
  93  1.335E+03   1.726E+04  3.470E+02  5.910E+05  1.941E+02  1.997E+05  4.233E+01  4.303E+02  9.145E-04  4.087E-01  8.248E+00
