Index  PRESSURE   C6H6       O          O(1D      O2         OH         H2O        CO         CO2        HCO        H2CO    
  67  1.801E+04   5.780E-05  2.007E+07  4.501E+01  3.936E+03  2.537E+11  2.661E+16  3.036E+16  3.426E+12  3.038E+10  1.916E+11
  68  1.630E+04   2.874E-05  1.941E+07  4.325E+01  3.750E+03  2.353E+11  2.372E+16  2.786E+16  3.099E+12  2.638E+10  1.591E+11
  69  1.475E+04   1.399E-05  1.881E+07  4.162E+01  3.584E+03  2.187E+11  2.119E+16  2.552E+16  2.801E+12  2.285E+10  1.319E+11
  70  1.335E+04   6.676E-06  1.826E+07  4.014E+01  3.439E+03  2.035E+11  1.895E+16  2.333E+16  2.534E+12  1.977E+10  1.091E+11
  71  1.207E+04   3.188E-06  1.745E+07  3.783E+01  3.254E+03  1.880E+11  1.700E+16  2.130E+16  2.295E+12  1.698E+10  9.018E+10
  72  1.093E+04   1.504E-06  1.670E+07  3.571E+01  3.089E+03  1.738E+11  1.526E+16  1.943E+16  2.080E+12  1.457E+10  7.445E+10
  73  9.888E+03   7.188E-07  1.572E+07  3.293E+01  2.887E+03  1.594E+11  1.374E+16  1.771E+16  1.888E+12  1.243E+10  6.146E+10
  74  8.946E+03   3.472E-07  1.455E+07  2.964E+01  2.657E+03  1.449E+11  1.238E+16  1.613E+16  1.716E+12  1.053E+10  5.067E+10
  75  8.094E+03   1.708E-07  1.323E+07  2.606E+01  2.408E+03  1.305E+11  1.118E+16  1.469E+16  1.563E+12  8.874E+09  4.178E+10
  76  7.325E+03   8.575E-08  1.182E+07  2.233E+01  2.144E+03  1.164E+11  1.011E+16  1.338E+16  1.427E+12  7.435E+09  3.447E+10
  77  6.626E+03   4.391E-08  1.038E+07  1.866E+01  1.878E+03  1.029E+11  9.150E+15  1.218E+16  1.304E+12  6.190E+09  2.841E+10
  78  5.994E+03   2.299E-08  8.935E+06  1.519E+01  1.614E+03  9.000E+10  8.291E+15  1.109E+16  1.194E+12  5.120E+09  2.342E+10
  79  5.423E+03   1.235E-08  7.545E+06  1.202E+01  1.362E+03  7.789E+10  7.521E+15  1.011E+16  1.096E+12  4.213E+09  1.933E+10
