Index	PRESSURE   HC3N       C2H2CN     C2H3CN     NO         NO2        N2O        HNO        HNO2       NCO        HNCO    
  80  7.385E+03   1.303E+03  2.179E-02  1.166E+03  5.431E+06  1.196E-04  5.974E+00  2.841E+03  2.875E-03  1.574E+04  2.582E+09
  81  6.685E+03   1.122E+03  1.786E-02  9.088E+02  5.441E+06  1.174E-04  5.960E+00  2.708E+03  2.685E-03  1.487E+04  2.322E+09
  82  6.047E+03   9.380E+02  1.415E-02  6.939E+02  5.384E+06  1.130E-04  5.881E+00  2.547E+03  2.472E-03  1.386E+04  2.084E+09
  83  5.474E+03   8.042E+02  1.155E-02  5.385E+02  5.447E+06  1.124E-04  5.986E+00  2.452E+03  2.340E-03  1.310E+04  1.875E+09
  84  4.951E+03   6.608E+02  8.967E-03  4.082E+02  5.343E+06  1.067E-04  5.891E+00  2.285E+03  2.135E-03  1.205E+04  1.680E+09
  85  4.481E+03   5.500E+02  7.054E-03  3.135E+02  5.262E+06  1.019E-04  5.846E+00  2.138E+03  1.961E-03  1.110E+04  1.508E+09
  86  4.055E+03   4.533E+02  5.480E-03  2.408E+02  5.106E+06  9.512E-05  5.715E+00  1.971E+03  1.771E-03  1.007E+04  1.351E+09
  87  3.667E+03   3.729E+02  4.234E-03  1.863E+02  4.883E+06  8.684E-05  5.505E+00  1.788E+03  1.572E-03  9.018E+03  1.209E+09
  88  3.316E+03   3.063E+02  3.254E-03  1.454E+02  4.595E+06  7.736E-05  5.210E+00  1.595E+03  1.369E-03  7.960E+03  1.080E+09
  89  3.001E+03   2.572E+02  2.559E-03  1.161E+02  4.331E+06  6.909E-05  4.947E+00  1.426E+03  1.196E-03  7.028E+03  9.657E+08
  90  2.716E+03   2.213E+02  2.061E-03  9.505E+01  4.086E+06  6.181E-05  4.713E+00  1.276E+03  1.047E-03  6.202E+03  8.635E+08
  91  2.457E+03   1.861E+02  1.611E-03  7.759E+01  3.714E+06  5.229E-05  4.291E+00  1.098E+03  8.762E-04  5.315E+03  7.693E+08
  92  2.222E+03   1.600E+02  1.288E-03  6.480E+01  3.379E+06  4.425E-05  3.914E+00  9.457E+02  7.342E-04  4.551E+03  6.851E+08
  93  2.011E+03   1.402E+02  1.049E-03  5.522E+01  3.070E+06  3.741E-05  3.568E+00  8.140E+02  6.148E-04  3.894E+03  6.106E+08
  94  1.819E+03   1.224E+02  8.480E-04  4.737E+01  2.735E+06  3.070E-05  3.175E+00  6.861E+02  5.027E-04  3.279E+03  5.429E+08
  95  1.646E+03   1.084E+02  6.954E-04  4.126E+01  2.434E+06  2.516E-05  2.823E+00  5.779E+02  4.108E-04  2.758E+03  4.826E+08
  96  1.489E+03   9.701E+01  5.760E-04  3.636E+01  2.163E+06  2.058E-05  2.508E+00  4.861E+02  3.351E-04  2.316E+03  4.289E+08
  97  1.347E+03   8.762E+01  4.814E-04  3.237E+01  1.920E+06  1.680E-05  2.224E+00  4.084E+02  2.731E-04  1.943E+03  3.812E+08
  98  1.219E+03   7.958E+01  4.044E-04  2.900E+01  1.703E+06  1.369E-05  1.972E+00  3.426E+02  2.223E-04  1.628E+03  3.389E+08
  99  1.102E+03   7.100E+01  3.324E-04  2.582E+01  1.476E+06  1.079E-05  1.697E+00  2.808E+02  1.760E-04  1.341E+03  3.006E+08
 100  9.972E+02   6.485E+01  2.807E-04  2.332E+01  1.305E+06  8.754E-06  1.500E+00  2.350E+02  1.428E-04  1.122E+03  2.673E+08
