Index   PRESSURE   C3H5       C3H6       C3H7       C3H8       C4H        C4H2       C4H3       C4H4       C4H5       C4H6    
  67   2.704E+04   5.104E+04  6.616E+06  2.150E+02  2.297E+05  1.149E-07  8.841E+00  1.897E-01  8.535E+01  3.062E-01  4.525E+02
  68   2.448E+04   4.425E+04  5.500E+06  1.694E+02  1.739E+05  1.222E-07  9.098E+00  1.854E-01  8.025E+01  2.737E-01  3.888E+02
  69   2.215E+04   3.856E+04  4.525E+06  1.331E+02  1.287E+05  1.391E-07  9.688E+00  1.881E-01  7.663E+01  2.488E-01  3.328E+02
  70   2.004E+04   3.378E+04  3.654E+06  1.039E+02  9.155E+04  1.744E-07  1.082E+01  2.014E-01  7.455E+01  2.309E-01  2.820E+02
  71   1.815E+04   3.039E+04  2.917E+06  8.176E+01  6.237E+04  2.617E-07  1.334E+01  2.404E-01  7.657E+01  2.269E-01  2.407E+02
  72   1.642E+04   2.619E+04  2.215E+06  6.144E+01  4.019E+04  3.815E-07  1.574E+01  2.751E-01  7.461E+01  2.117E-01  1.932E+02
  73   1.487E+04   2.171E+04  1.619E+06  4.441E+01  2.494E+04  5.252E-07  1.758E+01  2.979E-01  6.890E+01  1.873E-01  1.473E+02
  74   1.346E+04   1.701E+04  1.137E+06  3.059E+01  1.507E+04  6.325E-07  1.776E+01  2.905E-01  5.863E+01  1.524E-01  1.054E+02
  75   1.217E+04   1.264E+04  7.745E+05  2.018E+01  8.995E+03  6.510E-07  1.609E+01  2.526E-01  4.595E+01  1.139E-01  7.141E+01
  76   1.102E+04   9.266E+03  5.245E+05  1.321E+01  5.379E+03  6.385E-07  1.411E+01  2.123E-01  3.521E+01  8.327E-02  4.778E+01
  77   9.969E+03   6.572E+03  3.512E+05  8.442E+00  3.239E+03  5.513E-07  1.141E+01  1.636E-01  2.554E+01  5.749E-02  3.108E+01
  78   9.020E+03   4.557E+03  2.334E+05  5.318E+00  1.960E+03  4.368E-07  8.734E+00  1.189E-01  1.785E+01  3.819E-02  1.983E+01
  79   8.164E+03   3.180E+03  1.561E+05  3.370E+00  1.194E+03  3.487E-07  6.736E+00  8.708E-02  1.257E+01  2.557E-02  1.275E+01
  80   7.385E+03   2.175E+03  1.030E+05  2.100E+00  7.216E+02  2.639E-07  5.001E+00  6.127E-02  8.592E+00  1.660E-02  8.029E+00
  81   6.685E+03   1.532E+03  6.904E+04  1.339E+00  4.378E+02  2.192E-07  3.952E+00  4.608E-02  6.148E+00  1.130E-02  5.201E+00
  82   6.047E+03   1.058E+03  4.572E+04  8.399E-01  2.639E+02  1.730E-07  3.013E+00  3.335E-02  4.277E+00  7.476E-03  3.303E+00
  83   5.474E+03   7.468E+02  3.069E+04  5.365E-01  1.604E+02  1.441E-07  2.388E+00  2.515E-02  3.068E+00  5.103E-03  2.145E+00
  84   4.951E+03   5.152E+02  2.043E+04  3.372E-01  9.778E+01  1.103E-07  1.794E+00  1.790E-02  2.122E+00  3.352E-03  1.366E+00
  85   4.481E+03   3.619E+02  1.386E+04  2.160E-01  6.080E+01  8.637E-08  1.378E+00  1.304E-02  1.502E+00  2.255E-03  8.916E-01
  86   4.055E+03   2.550E+02  9.499E+03  1.392E-01  3.842E+01  6.597E-08  1.050E+00  9.391E-03  1.063E+00  1.516E-03  5.871E-01
  87   3.667E+03   1.814E+02  6.624E+03  9.093E-02  2.486E+01  4.971E-08  8.009E-01  6.767E-03  7.608E-01  1.029E-03  3.940E-01
  88   3.316E+03   1.303E+02  4.698E+03  6.015E-02  1.646E+01  3.685E-08  6.110E-01  4.863E-03  5.490E-01  7.036E-04  2.693E-01
  89   3.001E+03   9.633E+01  3.431E+03  4.100E-02  1.123E+01  2.828E-08  4.832E-01  3.624E-03  4.111E-01  4.996E-04  1.912E-01
  90   2.716E+03   7.340E+01  2.584E+03  2.881E-02  7.905E+00  2.259E-08  3.977E-01  2.811E-03  3.206E-01  3.694E-04  1.414E-01
  91   2.457E+03   5.537E+01  1.957E+03  2.019E-02  5.669E+00  1.678E-08  3.148E-01  2.088E-03  2.449E-01  2.672E-04  1.043E-01
  92   2.222E+03   4.292E+01  1.522E+03  1.453E-02  4.177E+00  1.292E-08  2.584E-01  1.608E-03  1.940E-01  2.003E-04  7.986E-02
  93   2.011E+03   3.407E+01  1.215E+03  1.073E-02  3.159E+00  1.022E-08  2.182E-01  1.275E-03  1.583E-01  1.548E-04  6.311E-02
  94   1.819E+03   2.709E+01  9.783E+02  7.959E-03  2.429E+00  7.865E-09  1.824E-01  9.976E-04  1.291E-01  1.194E-04  5.030E-02
  95   1.646E+03   2.194E+01  8.035E+02  6.018E-03  1.905E+00  6.185E-09  1.560E-01  7.991E-04  1.079E-01  9.442E-05  4.111E-02
  96   1.489E+03   1.804E+01  6.702E+02  4.619E-03  1.518E+00  4.944E-09  1.359E-01  6.516E-04  9.186E-02  7.604E-05  3.428E-02
  97   1.347E+03   1.503E+01  5.667E+02  3.594E-03  1.228E+00  4.013E-09  1.204E-01  5.401E-04  7.958E-02  6.232E-05  2.911E-02
  98   1.219E+03   1.263E+01  4.840E+02  2.824E-03  1.004E+00  3.288E-09  1.077E-01  4.526E-04  6.978E-02  5.169E-05  2.504E-02
  99   1.102E+03   1.049E+01  4.118E+02  2.199E-03  8.229E-01  2.562E-09  9.349E-02  3.666E-04  5.991E-02  4.193E-05  2.131E-02
 100   9.972E+02   8.941E+00  3.573E+02  1.754E-03  6.844E-01  2.124E-09  8.501E-02  3.119E-04  5.345E-02  3.539E-05  1.869E-02
 101   9.018E+02   7.492E+00  3.075E+02  1.380E-03  5.685E-01  1.665E-09  7.448E-02  2.550E-04  4.644E-02  2.905E-05  1.614E-02
