Index  PRESSURE   N          N2         NH         NH2        NH3        N2H        N2H2       H2NN       N2H3       N2H4    
  61   4.926E+04   3.915E+04  1.289E+16  1.312E+07  6.981E+10  6.374E+15  2.153E+06  4.156E+04  3.901E+01  5.246E+02  2.877E+04
  62   4.460E+04   3.834E+04  1.180E+16  1.230E+07  6.287E+10  5.531E+15  1.851E+06  3.540E+04  3.325E+01  4.389E+02  2.365E+04
  63   4.036E+04   3.962E+04  1.077E+16  1.202E+07  5.788E+10  4.784E+15  1.629E+06  3.084E+04  2.920E+01  3.775E+02  1.977E+04
  64   3.651E+04   4.315E+04  9.822E+15  1.222E+07  5.443E+10  4.125E+15  1.469E+06  2.745E+04  2.638E+01  3.332E+02  1.678E+04
  65   3.303E+04   4.821E+04  8.946E+15  1.267E+07  5.173E+10  3.549E+15  1.340E+06  2.468E+04  2.412E+01  2.979E+02  1.435E+04
  66   2.991E+04   5.239E+04  8.157E+15  1.286E+07  4.861E+10  3.059E+15  1.209E+06  2.193E+04  2.167E+01  2.626E+02  1.216E+04
  67   2.704E+04   5.117E+04  7.443E+15  1.202E+07  4.359E+10  2.641E+15  1.035E+06  1.855E+04  1.823E+01  2.180E+02  9.914E+03
  68   2.448E+04   4.994E+04  6.795E+15  1.123E+07  3.911E+10  2.282E+15  8.875E+05  1.570E+04  1.533E+01  1.810E+02  8.084E+03
  69   2.215E+04   5.133E+04  6.194E+15  1.091E+07  3.582E+10  1.965E+15  7.797E+05  1.356E+04  1.324E+01  1.542E+02  6.690E+03
  70   2.004E+04   5.696E+04  5.634E+15  1.124E+07  3.383E+10  1.681E+15  7.101E+05  1.206E+04  1.190E+01  1.365E+02  5.652E+03
  71   1.815E+04   7.177E+04  5.113E+15  1.275E+07  3.365E+10  1.428E+15  6.875E+05  1.129E+04  1.145E+01  1.291E+02  4.957E+03
  72   1.642E+04   9.230E+04  4.633E+15  1.469E+07  3.370E+10  1.208E+15  6.718E+05  1.062E+04  1.110E+01  1.231E+02  4.359E+03
  73   1.487E+04   1.184E+05  4.197E+15  1.688E+07  3.373E+10  1.022E+15  6.554E+05  9.976E+03  1.073E+01  1.175E+02  3.832E+03
  74   1.346E+04   1.441E+05  3.804E+15  1.865E+07  3.304E+10  8.682E+14  6.232E+05  9.166E+03  1.006E+01  1.094E+02  3.317E+03
  75   1.217E+04   1.630E+05  3.450E+15  1.948E+07  3.144E+10  7.416E+14  5.711E+05  8.180E+03  9.074E+00  9.823E+01  2.815E+03
  76   1.102E+04   1.803E+05  3.130E+15  2.004E+07  2.971E+10  6.371E+14  5.175E+05  7.260E+03  8.112E+00  8.779E+01  2.389E+03
  77   9.969E+03   1.861E+05  2.842E+15  1.956E+07  2.735E+10  5.515E+14  4.524E+05  6.283E+03  6.999E+00  7.608E+01  1.998E+03
  78   9.020E+03   1.836E+05  2.582E+15  1.847E+07  2.478E+10  4.807E+14  3.863E+05  5.360E+03  5.913E+00  6.475E+01  1.658E+03
  79   8.164E+03   1.819E+05  2.346E+15  1.751E+07  2.254E+10  4.208E+14  3.299E+05  4.601E+03  5.025E+00  5.562E+01  1.388E+03
  80   7.385E+03   1.765E+05  2.130E+15  1.634E+07  2.036E+10  3.698E+14  2.781E+05  3.930E+03  4.235E+00  4.750E+01  1.160E+03
  81   6.685E+03   1.804E+05  1.933E+15  1.589E+07  1.884E+10  3.255E+14  2.401E+05  3.446E+03  3.688E+00  4.204E+01  9.919E+02
  82   6.047E+03   1.804E+05  1.752E+15  1.520E+07  1.729E+10  2.875E+14  2.045E+05  3.005E+03  3.182E+00  3.694E+01  8.453E+02
  83   5.474E+03   1.854E+05  1.589E+15  1.486E+07  1.608E+10  2.545E+14  1.764E+05  2.663E+03  2.800E+00  3.318E+01  7.305E+02
  84   4.951E+03   1.818E+05  1.441E+15  1.402E+07  1.468E+10  2.261E+14  1.485E+05  2.322E+03  2.407E+00  2.914E+01  6.237E+02
  85   4.481E+03   1.786E+05  1.307E+15  1.326E+07  1.345E+10  2.016E+14  1.251E+05  2.037E+03  2.082E+00  2.578E+01  5.354E+02
  86   4.055E+03   1.715E+05  1.186E+15  1.233E+07  1.221E+10  1.802E+14  1.042E+05  1.775E+03  1.783E+00  2.259E+01  4.575E+02
  87   3.667E+03   1.608E+05  1.076E+15  1.126E+07  1.098E+10  1.615E+14  8.559E+04  1.537E+03  1.512E+00  1.960E+01  3.889E+02
  88   3.316E+03   1.471E+05  9.771E+14  1.009E+07  9.780E+09  1.450E+14  6.945E+04  1.321E+03  1.268E+00  1.681E+01  3.285E+02
  89   3.001E+03   1.346E+05  8.876E+14  9.049E+06  8.725E+09  1.305E+14  5.642E+04  1.140E+03  1.067E+00  1.447E+01  2.782E+02
  90   2.716E+03   1.232E+05  8.062E+14  8.118E+06  7.786E+09  1.176E+14  4.581E+04  9.863E+02  9.007E-01  1.250E+01  2.360E+02
  91   2.457E+03   1.070E+05  7.328E+14  6.997E+06  6.797E+09  1.062E+14  3.627E+04  8.357E+02  7.394E-01  1.047E+01  1.967E+02
  92   2.222E+03   9.285E+04  6.658E+14  6.026E+06  5.933E+09  9.585E+13  2.867E+04  7.093E+02  6.078E-01  8.781E+00  1.640E+02
  93   2.011E+03   8.044E+04  6.055E+14  5.186E+06  5.181E+09  8.670E+13  2.268E+04  6.033E+02  5.009E-01  7.379E+00  1.369E+02
  94   1.819E+03   6.777E+04  5.507E+14  4.367E+06  4.469E+09  7.847E+13  1.770E+04  5.076E+02  4.066E-01  6.100E+00  1.132E+02
  95   1.646E+03   5.700E+04  5.008E+14  3.673E+06  3.854E+09  7.106E+13  1.379E+04  4.276E+02  3.304E-01  5.045E+00  9.355E+01
  96   1.489E+03   4.782E+04  4.556E+14  3.085E+06  3.320E+09  6.439E+13  1.073E+04  3.604E+02  2.685E-01  4.174E+00  7.728E+01
  97   1.347E+03   4.005E+04  4.143E+14  2.587E+06  2.859E+09  5.836E+13  8.346E+03  3.040E+02  2.184E-01  3.454E+00  6.382E+01
  98   1.219E+03   3.348E+04  3.769E+14  2.167E+06  2.461E+09  5.293E+13  6.484E+03  2.567E+02  1.777E-01  2.860E+00  5.270E+01
  99   1.102E+03   2.714E+04  3.429E+14  1.771E+06  2.090E+09  4.804E+13  4.962E+03  2.141E+02  1.422E-01  2.324E+00  4.301E+01
 100   9.972E+02   2.259E+04  3.120E+14  1.479E+06  1.796E+09  4.362E+13  3.846E+03  1.810E+02  1.158E-01  1.925E+00  3.549E+01
 101   9.018E+02   1.821E+04  2.839E+14  1.205E+06  1.523E+09  3.962E+13  2.936E+03  1.511E+02  9.265E-02  1.563E+00  2.891E+01
 102   8.161E+02   1.508E+04  2.584E+14  1.002E+06  1.306E+09  3.600E+13  2.270E+03  1.278E+02  7.542E-02  1.294E+00  2.381E+01
 103   7.384E+02   1.209E+04  2.352E+14  8.129E+05  1.105E+09  3.274E+13  1.728E+03  1.068E+02  6.032E-02  1.050E+00  1.937E+01
 104   6.676E+02   9.375E+03  2.142E+14  6.425E+05  9.216E+08  2.978E+13  1.295E+03  8.806E+01  4.744E-02  8.345E-01  1.555E+01
 105   6.038E+02   7.236E+03  1.951E+14  5.061E+05  7.670E+08  2.711E+13  9.686E+02  7.257E+01  3.724E-02  6.618E-01  1.246E+01
 106   5.463E+02   5.562E+03  1.777E+14  3.973E+05  6.375E+08  2.468E+13  7.233E+02  5.982E+01  2.921E-02  5.241E-01  9.972E+00
