Index   PRESSURE   C2H        C2H2       C2H3       C2H4       C2H5       C2H6       C3H2       C3H3       CH3C2H     CH2CCH2 
  87   3.667E+03   3.569E+02  7.749E+09  4.397E+05  3.746E+09  1.578E+05  6.397E+07  3.542E+00  1.122E+03  1.948E+04  7.217E+03
  88   3.316E+03   2.873E+02  6.454E+09  3.431E+05  2.955E+09  1.165E+05  4.727E+07  2.738E+00  8.507E+02  1.464E+04  5.416E+03
  89   3.001E+03   2.353E+02  5.477E+09  2.729E+05  2.377E+09  8.776E+04  3.566E+07  2.175E+00  6.629E+02  1.132E+04  4.179E+03
  90   2.716E+03   1.965E+02  4.741E+09  2.214E+05  1.952E+09  6.744E+04  2.746E+07  1.780E+00  5.324E+02  9.018E+03  3.325E+03
  91   2.457E+03   1.555E+02  4.027E+09  1.752E+05  1.603E+09  5.150E+04  2.146E+07  1.398E+00  4.153E+02  7.102E+03  2.612E+03
  92   2.222E+03   1.252E+02  3.484E+09  1.411E+05  1.340E+09  4.003E+04  1.707E+07  1.127E+00  3.329E+02  5.746E+03  2.109E+03
  93   2.011E+03   1.022E+02  3.059E+09  1.154E+05  1.140E+09  3.163E+04  1.383E+07  9.285E-01  2.727E+02  4.759E+03  1.742E+03
  94   1.819E+03   8.140E+01  2.673E+09  9.350E+04  9.735E+08  2.501E+04  1.133E+07  7.541E-01  2.217E+02  3.944E+03  1.440E+03
  95   1.646E+03   6.553E+01  2.363E+09  7.666E+04  8.420E+08  2.004E+04  9.416E+06  6.231E-01  1.834E+02  3.330E+03  1.213E+03
  96   1.489E+03   5.315E+01  2.108E+09  6.342E+04  7.357E+08  1.621E+04  7.909E+06  5.217E-01  1.537E+02  2.853E+03  1.036E+03
  97   1.347E+03   4.340E+01  1.896E+09  5.288E+04  6.489E+08  1.322E+04  6.707E+06  4.422E-01  1.305E+02  2.476E+03  8.968E+02
  98   1.219E+03   3.557E+01  1.715E+09  4.434E+04  5.759E+08  1.086E+04  5.730E+06  3.778E-01  1.118E+02  2.169E+03  7.834E+02
  99   1.102E+03   2.815E+01  1.528E+09  3.647E+04  5.088E+08  8.835E+03  4.911E+06  3.133E-01  9.344E+01  1.873E+03  6.747E+02
 100   9.972E+02   2.317E+01  1.393E+09  3.080E+04  4.561E+08  7.323E+03  4.245E+06  2.709E-01  8.097E+01  1.663E+03  5.974E+02
 101   9.018E+02   1.835E+01  1.247E+09  2.544E+04  4.059E+08  6.000E+03  3.671E+06  2.263E-01  6.820E+01  1.451E+03  5.193E+02
 102   8.161E+02   1.512E+01  1.142E+09  2.156E+04  3.662E+08  5.001E+03  3.198E+06  1.971E-01  5.945E+01  1.298E+03  4.636E+02
 103   7.384E+02   1.193E+01  1.023E+09  1.782E+04  3.270E+08  4.109E+03  2.782E+06  1.650E-01  5.015E+01  1.136E+03  4.043E+02
 104   6.676E+02   9.004E+00  8.957E+08  1.433E+04  2.887E+08  3.322E+03  2.413E+06  1.328E-01  4.083E+01  9.701E+02  3.440E+02
 105   6.038E+02   6.761E+00  7.828E+08  1.150E+04  2.548E+08  2.686E+03  2.096E+06  1.067E-01  3.314E+01  8.269E+02  2.921E+02
 106   5.463E+02   5.046E+00  6.822E+08  9.195E+03  2.248E+08  2.169E+03  1.822E+06  8.555E-02  2.679E+01  7.034E+02  2.475E+02
 107   4.941E+02   3.584E+00  5.792E+08  7.132E+03  1.956E+08  1.719E+03  1.577E+06  6.581E-02  2.081E+01  5.813E+02  2.037E+02
 108   4.470E+02   2.525E+00  4.900E+08  5.509E+03  1.700E+08  1.360E+03  1.366E+06  5.059E-02  1.607E+01  4.786E+02  1.670E+02
 109   4.044E+02   1.765E+00  4.125E+08  4.233E+03  1.473E+08  1.073E+03  1.183E+06  3.892E-02  1.233E+01  3.921E+02  1.362E+02
 110   3.656E+02   1.170E+00  3.378E+08  3.149E+03  1.259E+08  8.298E+02  1.019E+06  2.887E-02  9.061E+00  3.116E+02  1.077E+02
 111   3.308E+02   8.035E-01  2.817E+08  2.392E+03  1.085E+08  6.502E+02  8.803E+05  2.239E-02  6.851E+00  2.527E+02  8.698E+01
 112   2.991E+02   5.224E-01  2.283E+08  1.758E+03  9.223E+07  4.993E+02  7.572E+05  1.683E-02  4.956E+00  1.985E+02  6.800E+01
 113   2.705E+02   3.357E-01  1.838E+08  1.283E+03  7.808E+07  3.818E+02  6.505E+05  1.279E-02  3.550E+00  1.549E+02  5.279E+01
 114   2.447E+02   2.133E-01  1.472E+08  9.296E+02  6.593E+07  2.910E+02  5.589E+05  9.854E-03  2.521E+00  1.201E+02  4.071E+01
 115   2.213E+02   1.342E-01  1.171E+08  6.695E+02  5.552E+07  2.208E+02  4.795E+05  7.720E-03  1.776E+00  9.250E+01  3.121E+01
 116   2.001E+02   8.345E-02  9.271E+07  4.788E+02  4.660E+07  1.669E+02  4.110E+05  6.153E-03  1.239E+00  7.083E+01  2.377E+01
 117   1.811E+02   5.130E-02  7.295E+07  3.402E+02  3.900E+07  1.258E+02  3.522E+05  4.983E-03  8.566E-01  5.385E+01  1.798E+01
