Index   PRESSURE   H          HE         H2         C          CH         1CH2       3CH2       CH3        CH4        C2      
  72   1.642E+04   5.466E+14  1.244E+19  6.427E+19  4.343E+00  8.571E+02  5.442E+05  2.119E+07  2.660E+12  1.525E+16  1.074E-04
  73   1.487E+04   5.779E+14  1.119E+19  5.781E+19  6.153E+00  1.085E+03  6.016E+05  2.300E+07  2.430E+12  1.185E+16  1.596E-04
  74   1.346E+04   5.976E+14  1.008E+19  5.206E+19  7.991E+00  1.276E+03  6.288E+05  2.369E+07  2.160E+12  9.169E+15  2.123E-04
  75   1.217E+04   5.985E+14  9.087E+18  4.694E+19  9.239E+00  1.361E+03  6.115E+05  2.283E+07  1.864E+12  7.124E+15  2.450E-04
  76   1.102E+04   5.935E+14  8.205E+18  4.239E+19  1.029E+01  1.407E+03  5.817E+05  2.156E+07  1.597E+12  5.558E+15  2.700E-04
  77   9.969E+03   5.703E+14  7.419E+18  3.833E+19  1.029E+01  1.331E+03  5.192E+05  1.921E+07  1.337E+12  4.378E+15  2.626E-04
  78   9.020E+03   5.370E+14  6.717E+18  3.471E+19  9.591E+00  1.187E+03  4.441E+05  1.646E+07  1.103E+12  3.474E+15  2.348E-04
  79   8.164E+03   5.056E+14  6.083E+18  3.143E+19  8.954E+00  1.061E+03  3.807E+05  1.414E+07  9.121E+11  2.763E+15  2.107E-04
  80   7.385E+03   4.712E+14  5.509E+18  2.847E+19  8.046E+00  9.177E+02  3.185E+05  1.187E+07  7.460E+11  2.197E+15  1.804E-04
  81   6.685E+03   4.483E+14  4.987E+18  2.577E+19  7.778E+00  8.440E+02  2.787E+05  1.039E+07  6.211E+11  1.740E+15  1.685E-04
  82   6.047E+03   4.219E+14  4.514E+18  2.333E+19  7.239E+00  7.519E+02  2.381E+05  8.891E+06  5.118E+11  1.378E+15  1.504E-04
  83   5.474E+03   4.014E+14  4.086E+18  2.112E+19  7.003E+00  6.920E+02  2.085E+05  7.785E+06  4.264E+11  1.093E+15  1.407E-04
  84   4.951E+03   3.740E+14  3.700E+18  1.912E+19  6.308E+00  6.002E+02  1.749E+05  6.555E+06  3.497E+11  8.712E+14  1.212E-04
  85   4.481E+03   3.485E+14  3.354E+18  1.733E+19  5.714E+00  5.236E+02  1.476E+05  5.553E+06  2.887E+11  6.995E+14  1.054E-04
  86   4.055E+03   3.214E+14  3.041E+18  1.571E+19  5.016E+00  4.453E+02  1.225E+05  4.633E+06  2.377E+11  5.663E+14  8.874E-05
  87   3.667E+03   2.932E+14  2.757E+18  1.425E+19  4.277E+00  3.702E+02  1.002E+05  3.817E+06  1.955E+11  4.630E+14  7.265E-05
  88   3.316E+03   2.645E+14  2.501E+18  1.293E+19  3.538E+00  3.004E+02  8.070E+04  3.102E+06  1.606E+11  3.825E+14  5.775E-05
  89   3.001E+03   2.387E+14  2.271E+18  1.174E+19  2.950E+00  2.459E+02  6.561E+04  2.545E+06  1.333E+11  3.195E+14  4.666E-05
  90   2.716E+03   2.153E+14  2.062E+18  1.066E+19  2.483E+00  2.031E+02  5.383E+04  2.108E+06  1.118E+11  2.696E+14  3.844E-05
  91   2.457E+03   1.900E+14  1.874E+18  9.684E+18  1.946E+00  1.583E+02  4.242E+04  1.683E+06  9.261E+10  2.301E+14  2.923E-05
  92   2.222E+03   1.675E+14  1.702E+18  8.796E+18  1.536E+00  1.243E+02  3.369E+04  1.354E+06  7.741E+10  1.982E+14  2.260E-05
