Index PRESSURE   N          N2         NH         NH2        NH3        N2H        N2H2       H2NN       N2H3       N2H4    
  85  2.976E+03   9.453E+05  8.399E+14  2.279E+07  4.795E+09  9.605E+12  4.402E+05  9.727E+02  1.957E+00  2.741E+00  9.452E+00
  86  2.690E+03   8.908E+05  7.607E+14  2.071E+07  4.233E+09  8.291E+12  3.679E+05  7.807E+02  1.552E+00  2.216E+00  7.568E+00
  87  2.434E+03   8.447E+05  6.896E+14  1.895E+07  3.763E+09  7.211E+12  3.079E+05  6.281E+02  1.234E+00  1.817E+00  6.144E+00
  88  2.203E+03   7.890E+05  6.258E+14  1.717E+07  3.338E+09  6.319E+12  2.555E+05  5.023E+02  9.714E-01  1.492E+00  5.015E+00
  89  1.994E+03   7.267E+05  5.680E+14  1.541E+07  2.954E+09  5.579E+12  2.099E+05  3.988E+02  7.562E-01  1.227E+00  4.119E+00
  90  1.803E+03   6.457E+05  5.160E+14  1.348E+07  2.584E+09  4.963E+12  1.690E+05  3.115E+02  5.749E-01  9.989E-01  3.372E+00
  91  1.631E+03   5.640E+05  4.690E+14  1.165E+07  2.252E+09  4.443E+12  1.347E+05  2.417E+02  4.323E-01  8.127E-01  2.771E+00
  92  1.476E+03   4.832E+05  4.266E+14  9.925E+06  1.950E+09  3.995E+12  1.062E+05  1.860E+02  3.211E-01  6.589E-01  2.275E+00
  93  1.335E+03   4.057E+05  3.882E+14  8.332E+06  1.678E+09  3.607E+12  8.290E+04  1.421E+02  2.358E-01  5.313E-01  1.865E+00
  94  1.208E+03   3.405E+05  3.533E+14  6.997E+06  1.445E+09  3.264E+12  6.462E+04  1.086E+02  1.731E-01  4.309E-01  1.533E+00
  95  1.093E+03   2.791E+05  3.217E+14  5.773E+06  1.233E+09  2.960E+12  4.979E+04  8.227E+01  1.255E-01  3.461E-01  1.253E+00
  96  9.889E+02   2.335E+05  2.929E+14  4.840E+06  1.062E+09  2.688E+12  3.872E+04  6.297E+01  9.211E-02  2.828E-01  1.033E+00
