Index   PRESSURE   CN         HCN        H2CN       CH2NH      CH3NH      CH2NH2     CH3NH2     CH2CN      CH3CN      C3N     
  66   2.991E+04   5.869E+05  2.894E+13  6.350E+07  8.383E+09  2.368E+04  1.094E+06  5.377E+08  4.128E+06  1.134E+09  1.030E-06
  67   2.704E+04   6.005E+05  2.861E+13  5.937E+07  7.514E+09  2.008E+04  9.294E+05  4.383E+08  4.028E+06  1.063E+09  1.144E-06
  68   2.448E+04   6.100E+05  2.810E+13  5.517E+07  6.698E+09  1.693E+04  7.853E+05  3.557E+08  3.884E+06  9.850E+08  1.246E-06
  69   2.215E+04   6.478E+05  2.793E+13  5.248E+07  6.011E+09  1.454E+04  6.730E+05  2.873E+08  3.829E+06  9.149E+08  1.428E-06
  70   2.004E+04   7.342E+05  2.826E+13  5.161E+07  5.439E+09  1.279E+04  5.877E+05  2.298E+08  3.896E+06  8.513E+08  1.758E-06
  71   1.815E+04   9.304E+05  2.959E+13  5.395E+07  5.028E+09  1.181E+04  5.339E+05  1.827E+08  4.222E+06  8.045E+08  2.473E-06
  72   1.642E+04   1.183E+06  3.064E+13  5.605E+07  4.583E+09  1.080E+04  4.798E+05  1.424E+08  4.481E+06  7.376E+08  3.400E-06
  73   1.487E+04   1.481E+06  3.129E+13  5.739E+07  4.122E+09  9.743E+03  4.253E+05  1.097E+08  4.624E+06  6.589E+08  4.477E-06
  74   1.346E+04   1.743E+06  3.104E+13  5.644E+07  3.622E+09  8.489E+03  3.654E+05  8.342E+07  4.513E+06  5.675E+08  5.333E-06
  75   1.217E+04   1.899E+06  2.984E+13  5.295E+07  3.107E+09  7.107E+03  3.033E+05  6.299E+07  4.142E+06  4.731E+08  5.661E-06
  76   1.102E+04   2.021E+06  2.847E+13  4.907E+07  2.655E+09  5.900E+03  2.500E+05  4.770E+07  3.742E+06  3.919E+08  5.806E-06
  77   9.969E+03   2.013E+06  2.657E+13  4.378E+07  2.236E+09  4.752E+03  2.010E+05  3.617E+07  3.233E+06  3.191E+08  5.439E-06
  78   9.020E+03   1.920E+06  2.447E+13  3.815E+07  1.868E+09  3.756E+03  1.592E+05  2.747E+07  2.713E+06  2.571E+08  4.794E-06
  79   8.164E+03   1.840E+06  2.264E+13  3.341E+07  1.569E+09  2.986E+03  1.267E+05  2.101E+07  2.293E+06  2.086E+08  4.264E-06
  80   7.385E+03   1.725E+06  2.080E+13  2.890E+07  1.311E+09  2.349E+03  1.000E+05  1.605E+07  1.905E+06  1.679E+08  3.662E-06
  81   6.685E+03   1.700E+06  1.951E+13  2.578E+07  1.113E+09  1.899E+03  8.081E+04  1.236E+07  1.643E+06  1.377E+08  3.372E-06
  82   6.047E+03   1.640E+06  1.817E+13  2.273E+07  9.400E+08  1.518E+03  6.471E+04  9.498E+06  1.393E+06  1.122E+08  3.003E-06
  83   5.474E+03   1.623E+06  1.710E+13  2.036E+07  8.012E+08  1.233E+03  5.248E+04  7.352E+06  1.207E+06  9.246E+07  2.781E-06
  84   4.951E+03   1.540E+06  1.591E+13  1.782E+07  6.776E+08  9.815E+02  4.192E+04  5.692E+06  1.018E+06  7.552E+07  2.431E-06
  85   4.481E+03   1.467E+06  1.486E+13  1.567E+07  5.760E+08  7.866E+02  3.367E+04  4.444E+06  8.668E+05  6.233E+07  2.156E-06
  86   4.055E+03   1.374E+06  1.384E+13  1.368E+07  4.897E+08  6.270E+02  2.696E+04  3.487E+06  7.341E+05  5.166E+07  1.882E-06
  87   3.667E+03   1.265E+06  1.288E+13  1.186E+07  4.167E+08  4.975E+02  2.151E+04  2.756E+06  6.209E+05  4.313E+07  1.627E-06
  88   3.316E+03   1.147E+06  1.198E+13  1.022E+07  3.554E+08  3.933E+02  1.715E+04  2.192E+06  5.244E+05  3.631E+07  1.393E-06
  89   3.001E+03   1.044E+06  1.121E+13  8.860E+06  3.051E+08  3.133E+02  1.376E+04  1.763E+06  4.494E+05  3.104E+07  1.219E-06
  90   2.716E+03   9.532E+05  1.052E+13  7.702E+06  2.627E+08  2.507E+02  1.108E+04  1.430E+06  3.903E+05  2.690E+07  1.091E-06
  91   2.457E+03   8.397E+05  9.830E+12  6.598E+06  2.265E+08  1.981E+02  8.860E+03  1.165E+06  3.336E+05  2.340E+07  9.348E-07
  92   2.222E+03   7.400E+05  9.195E+12  5.652E+06  1.954E+08  1.568E+02  7.089E+03  9.557E+05  2.881E+05  2.056E+07  8.166E-07
  93   2.011E+03   6.520E+05  8.614E+12  4.851E+06  1.691E+08  1.245E+02  5.690E+03  7.900E+05  2.510E+05  1.825E+07  7.234E-07
  94   1.819E+03   5.642E+05  8.056E+12  4.130E+06  1.464E+08  9.826E+01  4.552E+03  6.554E+05  2.175E+05  1.628E+07  6.300E-07
  95   1.646E+03   4.870E+05  7.528E+12  3.513E+06  1.267E+08  7.753E+01  3.638E+03  5.461E+05  1.894E+05  1.461E+07  5.541E-07
  96   1.489E+03   4.191E+05  7.025E+12  2.982E+06  1.095E+08  6.108E+01  2.904E+03  4.563E+05  1.654E+05  1.316E+07  4.906E-07
  97   1.347E+03   3.594E+05  6.540E+12  2.524E+06  9.450E+07  4.804E+01  2.313E+03  3.822E+05  1.448E+05  1.189E+07  4.369E-07
  98   1.219E+03   3.070E+05  6.073E+12  2.130E+06  8.138E+07  3.768E+01  1.837E+03  3.205E+05  1.267E+05  1.075E+07  3.898E-07
  99   1.102E+03   2.566E+05  5.622E+12  1.780E+06  7.001E+07  2.930E+01  1.452E+03  2.688E+05  1.096E+05  9.712E+06  3.376E-07
 100   9.972E+02   2.172E+05  5.191E+12  1.493E+06  5.999E+07  2.285E+01  1.147E+03  2.258E+05  9.573E+04  8.785E+06  3.015E-07
 101   9.018E+02   1.800E+05  4.781E+12  1.240E+06  5.139E+07  1.767E+01  9.022E+02  1.894E+05  8.254E+04  7.931E+06  2.606E-07
 102   8.161E+02   1.512E+05  4.393E+12  1.033E+06  4.385E+07  1.370E+01  7.094E+02  1.591E+05  7.189E+04  7.166E+06  2.324E-07
 103   7.384E+02   1.243E+05  4.031E+12  8.540E+05  3.748E+07  1.055E+01  5.560E+02  1.334E+05  6.179E+04  6.464E+06  2.001E-07
 104   6.676E+02   1.001E+05  3.693E+12  6.997E+05  3.206E+07  8.065E+00  4.342E+02  1.117E+05  5.233E+04  5.817E+06  1.662E-07
 105   6.038E+02   8.031E+04  3.381E+12  5.727E+05  2.744E+07  6.163E+00  3.391E+02  9.354E+04  4.425E+04  5.235E+06  1.376E-07
 106   5.463E+02   6.426E+04  3.095E+12  4.684E+05  2.351E+07  4.708E+00  2.648E+02  7.833E+04  3.737E+04  4.713E+06  1.136E-07
 107   4.941E+02   5.032E+04  2.833E+12  3.801E+05  2.019E+07  3.578E+00  2.064E+02  6.551E+04  3.109E+04  4.236E+06  9.027E-08
 108   4.470E+02   3.929E+04  2.595E+12  3.082E+05  1.738E+07  2.720E+00  1.610E+02  5.481E+04  2.582E+04  3.809E+06  7.154E-08
 109   4.044E+02   3.057E+04  2.376E+12  2.498E+05  1.496E+07  2.067E+00  1.256E+02  4.585E+04  2.140E+04  3.425E+06  5.653E-08
 110   3.656E+02   2.325E+04  2.176E+12  2.007E+05  1.292E+07  1.563E+00  9.778E+01  3.834E+04  1.746E+04  3.074E+06  4.309E-08
 111   3.308E+02   1.797E+04  1.994E+12  1.623E+05  1.115E+07  1.187E+00  7.631E+01  3.209E+04  1.441E+04  2.764E+06  3.391E-08
 112   2.991E+02   1.357E+04  1.828E+12  1.302E+05  9.653E+06  8.977E-01  5.943E+01  2.688E+04  1.170E+04  2.481E+06  2.578E-08
 113   2.705E+02   1.020E+04  1.676E+12  1.043E+05  8.371E+06  6.790E-01  4.631E+01  2.256E+04  9.468E+03  2.227E+06  1.959E-08
 114   2.447E+02   7.641E+03  1.539E+12  8.356E+04  7.275E+06  5.142E-01  3.614E+01  1.899E+04  7.649E+03  2.001E+06  1.490E-08
 115   2.213E+02   5.699E+03  1.412E+12  6.683E+04  6.328E+06  3.891E-01  2.820E+01  1.601E+04  6.160E+03  1.797E+06  1.137E-08
 116   2.001E+02   4.231E+03  1.296E+12  5.335E+04  5.507E+06  2.943E-01  2.198E+01  1.354E+04  4.945E+03  1.613E+06  8.702E-09
 117   1.811E+02   3.128E+03  1.191E+12  4.259E+04  4.805E+06  2.229E-01  1.718E+01  1.149E+04  3.959E+03  1.449E+06  6.692E-09
 118   1.638E+02   2.302E+03  1.095E+12  3.394E+04  4.196E+06  1.688E-01  1.342E+01  9.790E+03  3.159E+03  1.300E+06  5.174E-09
 119   1.482E+02   1.687E+03  1.007E+12  2.704E+04  3.670E+06  1.279E-01  1.049E+01  8.380E+03  2.515E+03  1.168E+06  4.028E-09
 120   1.340E+02   1.231E+03  9.257E+11  2.151E+04  3.215E+06  9.689E-02  8.206E+00  7.202E+03  1.997E+03  1.049E+06  3.159E-09
 121   1.212E+02   8.945E+02  8.516E+11  1.711E+04  2.819E+06  7.352E-02  6.431E+00  6.223E+03  1.582E+03  9.413E+05  2.504E-09
 122   1.096E+02   6.490E+02  7.836E+11  1.363E+04  2.478E+06  5.599E-02  5.061E+00  5.415E+03  1.252E+03  8.447E+05  2.015E-09
 123   9.912E+01   4.794E+02  7.213E+11  1.093E+04  2.171E+06  4.274E-02  3.982E+00  4.690E+03  1.004E+03  7.595E+05  1.677E-09
 124   8.963E+01   3.558E+02  6.641E+11  8.822E+03  1.908E+06  3.297E-02  3.169E+00  4.097E+03  8.090E+02  6.828E+05  1.438E-09
 125   8.112E+01   2.696E+02  6.117E+11  7.180E+03  1.672E+06  2.556E-02  2.527E+00  3.557E+03  6.621E+02  6.152E+05  1.292E-09
 126   7.338E+01   2.065E+02  5.636E+11  5.919E+03  1.471E+06  2.014E-02  2.050E+00  3.114E+03  5.477E+02  5.541E+05  1.222E-09
 127   6.637E+01   1.605E+02  5.194E+11  4.967E+03  1.299E+06  1.623E-02  1.700E+00  2.753E+03  4.603E+02  4.992E+05  1.232E-09
 128   6.001E+01   1.278E+02  4.789E+11  4.282E+03  1.154E+06  1.350E-02  1.457E+00  2.461E+03  3.967E+02  4.497E+05  1.334E-09
 129   5.430E+01   1.071E+02  4.415E+11  3.756E+03  1.015E+06  1.132E-02  1.251E+00  2.149E+03  3.541E+02  4.065E+05  1.552E-09
 130   4.908E+01   9.197E+01  4.072E+11  3.444E+03  9.052E+05  1.005E-02  1.142E+00  1.930E+03  3.269E+02  3.669E+05  1.887E-09
 131   4.441E+01   8.319E+01  3.756E+11  3.215E+03  7.998E+05  9.001E-03  1.045E+00  1.692E+03  3.127E+02  3.325E+05  2.380E-09
 132   4.019E+01   7.818E+01  3.465E+11  3.063E+03  7.046E+05  8.206E-03  9.708E-01  1.469E+03  3.086E+02  3.020E+05  3.054E-09
 133   3.635E+01   7.534E+01  3.197E+11  2.995E+03  6.234E+05  7.706E-03  9.292E-01  1.284E+03  3.121E+02  2.744E+05  3.924E-09
 134   3.288E+01   7.451E+01  2.950E+11  2.949E+03  5.495E+05  7.265E-03  8.899E-01  1.111E+03  3.213E+02  2.497E+05  5.030E-09
 135   2.974E+01   7.479E+01  2.725E+11  2.951E+03  4.868E+05  6.984E-03  8.693E-01  9.680E+02  3.358E+02  2.276E+05  6.390E-09
 136   2.692E+01   7.635E+01  2.519E+11  2.947E+03  4.301E+05  6.678E-03  8.422E-01  8.360E+02  3.538E+02  2.080E+05  8.036E-09
 137   2.433E+01   7.772E+01  2.331E+11  2.991E+03  3.841E+05  6.560E-03  8.410E-01  7.372E+02  3.751E+02  1.897E+05  9.912E-09
 138   1.752E+01   8.513E+01  1.822E+11  3.172E+03  2.727E+05  6.386E-03  8.605E-01  5.029E+02  4.639E+02  1.418E+05  1.825E-08
 139   1.251E+01   9.297E+01  1.437E+11  3.477E+03  2.074E+05  6.876E-03  9.824E-01  3.740E+02  5.834E+02  1.062E+05  2.935E-08
 140   8.952E+00   1.070E+02  1.149E+11  3.756E+03  1.633E+05  7.555E-03  1.134E+00  2.839E+02  7.515E+02  8.084E+04  4.549E-08
 141   6.407E+00   1.338E+02  9.287E+10  3.971E+03  1.298E+05  8.303E-03  1.292E+00  2.167E+02  1.010E+03  6.267E+04  7.392E-08
 142   4.584E+00   1.814E+02  7.597E+10  4.092E+03  1.027E+05  9.123E-03  1.457E+00  1.682E+02  1.429E+03  4.942E+04  1.338E-07
 143   3.283E+00   2.649E+02  6.316E+10  4.001E+03  7.863E+04  9.634E-03  1.561E+00  1.313E+02  2.116E+03  3.970E+04  2.854E-07
 144   2.351E+00   3.841E+02  5.296E+10  3.604E+03  5.828E+04  9.475E-03  1.552E+00  1.007E+02  3.090E+03  3.208E+04  6.848E-07
 145   1.684E+00   5.507E+02  4.522E+10  3.317E+03  4.831E+04  1.036E-02  1.723E+00  7.720E+01  4.480E+03  2.603E+04  1.830E-06
 146   1.207E+00   7.666E+02  3.909E+10  3.707E+03  5.018E+04  1.362E-02  2.301E+00  5.654E+01  6.210E+03  2.102E+04  5.139E-06
 147   8.644E-01   1.010E+03  3.389E+10  5.302E+03  5.928E+04  1.920E-02  3.298E+00  3.789E+01  7.951E+03  1.663E+04  1.400E-05
 148   6.189E-01   1.255E+03  2.921E+10  7.534E+03  6.305E+04  2.316E-02  4.042E+00  2.203E+01  9.313E+03  1.269E+04  3.587E-05
 149   4.433E-01   1.423E+03  2.442E+10  8.314E+03  5.126E+04  2.012E-02  3.566E+00  1.053E+01  9.742E+03  9.183E+03  8.028E-05
 150   3.176E-01   1.484E+03  1.965E+10  7.093E+03  3.221E+04  1.357E-02  2.462E+00  4.167E+00  9.499E+03  6.314E+03  1.601E-04
 151   2.273E-01   1.442E+03  1.517E+10  4.509E+03  1.506E+04  7.121E-03  1.339E+00  1.319E+00  8.988E+03  4.169E+03  2.944E-04
 152   1.626E-01   1.336E+03  1.129E+10  1.901E+03  4.664E+03  2.563E-03  5.031E-01  2.992E-01  8.372E+03  2.677E+03  5.051E-04
 153   1.163E-01   1.220E+03  8.242E+09  4.981E+02  8.892E+02  5.803E-04  1.192E-01  4.400E-02  7.581E+03  1.657E+03  7.902E-04
 154   8.334E-02   1.086E+03  5.982E+09  9.828E+01  1.247E+02  9.906E-05  2.144E-02  4.837E-03  6.400E+03  9.609E+02  1.107E-03
 155   5.961E-02   9.434E+02  4.340E+09  2.329E+01  2.035E+01  2.017E-05  4.636E-03  6.028E-04  4.757E+03  4.977E+02  1.464E-03
 156   4.263E-02   7.998E+02  3.153E+09  8.980E+00  5.675E+00  7.129E-06  1.751E-03  1.379E-04  2.895E+03  2.194E+02  1.848E-03
 157   3.049E-02   6.704E+02  2.290E+09  4.375E+00  2.071E+00  3.304E-06  8.686E-04  4.461E-05  1.367E+03  7.965E+01  2.213E-03
 158   2.183E-02   5.634E+02  1.663E+09  2.234E+00  7.829E-01  1.562E-06  4.377E-04  1.503E-05  5.095E+02  2.455E+01  2.529E-03
 159   1.562E-02   4.764E+02  1.206E+09  1.144E+00  2.890E-01  7.170E-07  2.139E-04  4.921E-06  1.667E+02  7.029E+00  2.841E-03
 160   1.119E-02   4.160E+02  8.733E+08  5.862E-01  1.049E-01  3.116E-07  9.811E-05  1.544E-06  6.124E+01  2.294E+00  3.210E-03
 161   8.025E-03   4.299E+02  6.312E+08  3.013E-01  3.760E-02  1.300E-07  4.273E-05  4.618E-07  2.828E+01  9.390E-01  4.131E-03
 162   5.761E-03   6.410E+02  4.552E+08  1.554E-01  1.348E-02  5.247E-08  1.783E-05  1.335E-07  1.554E+01  4.586E-01  7.302E-03
 163   4.146E-03   1.402E+03  3.276E+08  8.083E-02  4.837E-03  2.102E-08  7.300E-06  3.722E-08  9.316E+00  2.411E-01  1.732E-02
 164   2.991E-03   3.207E+03  2.352E+08  4.257E-02  1.768E-03  8.389E-09  2.952E-06  1.024E-08  6.193E+00  1.283E-01  3.331E-02
 165   2.166E-03   6.540E+03  1.686E+08  2.318E-02  6.762E-04  3.439E-09  1.216E-06  2.866E-09  8.744E+00  7.084E-02  2.302E-02
 166   1.575E-03   1.157E+04  1.206E+08  1.369E-02  2.898E-04  1.510E-09  5.334E-07  8.749E-10  9.669E+00  3.375E-02  4.581E-02
 167   1.148E-03   1.813E+04  8.605E+07  8.861E-03  1.410E-04  7.094E-10  2.489E-07  2.951E-10  5.953E+00  1.319E-02  1.223E-01
 168   8.405E-04   2.594E+04  6.127E+07  6.368E-03  7.806E-05  3.623E-10  1.256E-07  1.104E-10  3.150E+00  4.763E-03  3.213E-01
 169   6.172E-04   3.413E+04  4.350E+07  4.958E-03  4.775E-05  1.945E-10  6.634E-08  4.467E-11  1.596E+00  1.688E-03  7.839E-01
 170   4.549E-04   4.234E+04  3.073E+07  4.069E-03  3.110E-05  1.061E-10  3.530E-08  1.860E-11  7.906E-01  5.940E-04  1.776E+00
 171   3.363E-04   4.961E+04  2.156E+07  3.385E-03  2.061E-05  5.544E-11  1.778E-08  7.541E-12  3.925E-01  2.129E-04  3.620E+00
 172   2.493E-04   5.527E+04  1.494E+07  2.790E-03  1.335E-05  2.639E-11  8.042E-09  2.818E-12  1.954E-01  7.798E-05  6.567E+00
