Index   PRESSURE   CH2OH      CH3O       CH3OH      HCCO       H2CCO      C2H3O      CH3CHO     C2H4OH     HO2        H2O2    
  57   7.353E+04   1.548E+07  2.324E+05  1.684E+10  3.252E+03  1.429E+08  1.780E+05  4.445E+07  2.935E+02  3.682E-01  1.723E+02
  58   6.652E+04   1.379E+07  2.059E+05  1.470E+10  3.345E+03  1.448E+08  1.708E+05  4.158E+07  2.565E+02  3.201E-01  1.458E+02
  59   6.020E+04   1.242E+07  1.845E+05  1.284E+10  3.511E+03  1.481E+08  1.656E+05  3.899E+07  2.265E+02  2.843E-01  1.251E+02
  60   5.446E+04   1.085E+07  1.599E+05  1.110E+10  3.477E+03  1.463E+08  1.546E+05  3.577E+07  1.929E+02  2.400E-01  1.036E+02
  61   4.926E+04   9.563E+06  1.403E+05  9.591E+09  3.518E+03  1.460E+08  1.460E+05  3.293E+07  1.657E+02  2.069E-01  8.699E+01
  62   4.460E+04   8.633E+06  1.265E+05  8.322E+09  3.730E+03  1.490E+08  1.416E+05  3.064E+07  1.456E+02  1.869E-01  7.535E+01
  63   4.036E+04   7.947E+06  1.168E+05  7.214E+09  4.127E+03  1.550E+08  1.403E+05  2.865E+07  1.301E+02  1.764E-01  6.712E+01
  64   3.651E+04   7.444E+06  1.100E+05  6.238E+09  4.741E+03  1.634E+08  1.414E+05  2.678E+07  1.179E+02  1.737E-01  6.143E+01
  65   3.303E+04   6.988E+06  1.037E+05  5.352E+09  5.477E+03  1.711E+08  1.418E+05  2.472E+07  1.065E+02  1.741E-01  5.675E+01
  66   2.991E+04   6.428E+06  9.550E+04  4.548E+09  6.062E+03  1.739E+08  1.378E+05  2.231E+07  9.361E+01  1.696E-01  5.144E+01
  67   2.704E+04   5.576E+06  8.315E+04  3.789E+09  6.053E+03  1.671E+08  1.257E+05  1.951E+07  7.686E+01  1.495E-01  4.343E+01
  68   2.448E+04   4.805E+06  7.192E+04  3.138E+09  5.960E+03  1.585E+08  1.132E+05  1.686E+07  6.233E+01  1.312E-01  3.655E+01
  69   2.215E+04   4.199E+06  6.315E+04  2.582E+09  6.041E+03  1.509E+08  1.028E+05  1.444E+07  5.091E+01  1.202E-01  3.162E+01
  70   2.004E+04   3.737E+06  5.673E+04  2.102E+09  6.385E+03  1.448E+08  9.433E+04  1.221E+07  4.185E+01  1.171E-01  2.840E+01
  71   1.815E+04   3.463E+06  5.288E+04  1.698E+09  7.254E+03  1.408E+08  8.857E+04  1.014E+07  3.540E+01  1.273E-01  2.742E+01
  72   1.642E+04   3.174E+06  4.899E+04  1.344E+09  8.128E+03  1.337E+08  8.123E+04  8.175E+06  2.905E+01  1.402E-01  2.664E+01
  73   1.487E+04   2.868E+06  4.466E+04  1.051E+09  8.830E+03  1.232E+08  7.235E+04  6.405E+06  2.323E+01  1.539E-01  2.584E+01
  74   1.346E+04   2.511E+06  3.945E+04  8.117E+08  9.027E+03  1.095E+08  6.187E+04  4.898E+06  1.782E+01  1.616E-01  2.434E+01
  75   1.217E+04   2.120E+06  3.363E+04  6.223E+08  8.611E+03  9.391E+07  5.086E+04  3.685E+06  1.311E+01  1.592E-01  2.199E+01
  76   1.102E+04   1.777E+06  2.821E+04  4.780E+08  7.986E+03  7.927E+07  4.109E+04  2.747E+06  9.580E+00  1.547E-01  1.974E+01
  77   9.969E+03   1.446E+06  2.297E+04  3.668E+08  7.004E+03  6.539E+07  3.229E+04  2.038E+06  6.812E+00  1.413E-01  1.703E+01
  78   9.020E+03   1.156E+06  1.836E+04  2.815E+08  5.919E+03  5.316E+07  2.493E+04  1.509E+06  4.760E+00  1.242E-01  1.434E+01
  79   8.164E+03   9.284E+05  1.462E+04  2.170E+08  4.989E+03  4.309E+07  1.920E+04  1.114E+06  3.352E+00  1.099E-01  1.216E+01
  80   7.385E+03   7.362E+05  1.151E+04  1.668E+08  4.112E+03  3.455E+07  1.460E+04  8.177E+05  2.324E+00  9.528E-02  1.017E+01
  81   6.685E+03   5.991E+05  9.180E+03  1.291E+08  3.493E+03  2.792E+07  1.122E+04  5.982E+05  1.660E+00  8.708E-02  8.847E+00
  82   6.047E+03   4.818E+05  7.244E+03  9.972E+07  2.905E+03  2.234E+07  8.527E+03  4.355E+05  1.168E+00  7.803E-02  7.596E+00
  83   5.474E+03   3.936E+05  5.753E+03  7.752E+07  2.456E+03  1.797E+07  6.526E+03  3.171E+05  8.386E-01  7.192E-02  6.661E+00
  84   4.951E+03   3.151E+05  4.491E+03  6.012E+07  2.008E+03  1.429E+07  4.922E+03  2.310E+05  5.899E-01  6.343E-02  5.667E+00
  85   4.481E+03   2.542E+05  3.510E+03  4.701E+07  1.650E+03  1.142E+07  3.732E+03  1.692E+05  4.211E-01  5.618E-02  4.847E+00
  86   4.055E+03   2.039E+05  2.722E+03  3.692E+07  1.339E+03  9.119E+06  2.822E+03  1.246E+05  3.006E-01  4.872E-02  4.088E+00
  87   3.667E+03   1.630E+05  2.092E+03  2.915E+07  1.075E+03  7.289E+06  2.132E+03  9.233E+04  2.155E-01  4.137E-02  3.399E+00
  88   3.316E+03   1.298E+05  1.597E+03  2.314E+07  8.553E+02  5.835E+06  1.610E+03  6.895E+04  1.550E-01  3.434E-02  2.784E+00
  89   3.001E+03   1.045E+05  1.222E+03  1.858E+07  6.862E+02  4.716E+06  1.229E+03  5.206E+04  1.140E-01  2.857E-02  2.288E+00
  90   2.716E+03   8.488E+04  9.355E+02  1.508E+07  5.554E+02  3.846E+06  9.464E+02  3.967E+04  8.551E-02  2.379E-02  1.882E+00
  91   2.457E+03   6.772E+04  7.058E+02  1.224E+07  4.370E+02  3.123E+06  7.230E+02  3.048E+04  6.334E-02  1.886E-02  1.496E+00
  92   2.222E+03   5.448E+04  5.323E+02  1.003E+07  3.465E+02  2.555E+06  5.565E+02  2.360E+04  4.776E-02  1.494E-02  1.189E+00
  93   2.011E+03   4.418E+04  4.027E+02  8.293E+06  2.767E+02  2.109E+06  4.323E+02  1.846E+04  3.662E-02  1.184E-02  9.457E-01
