Wavelength(nm)	sigma(cm^2)
115.00	0.00E+00
115.40	0.00E+00
115.70	0.00E+00
116.30	0.00E+00
116.60	0.00E+00
117.00	0.00E+00
117.40	0.00E+00
118.00	0.00E+00
118.30	0.00E+00
118.80	0.00E+00
119.30	0.00E+00
119.60	0.00E+00
120.00	0.00E+00
121.00	0.00E+00
121.57	0.00E+00
122.00	0.00E+00
123.00	0.00E+00
124.00	0.00E+00
125.00	0.00E+00
126.00	0.00E+00
127.00	0.00E+00
128.00	0.00E+00
129.00	0.00E+00
130.00	0.00E+00
130.50	0.00E+00
131.00	0.00E+00
131.50	0.00E+00
132.00	0.00E+00
132.50	0.00E+00
133.00	0.00E+00
133.50	0.00E+00
134.00	0.00E+00
134.50	0.00E+00
135.00	0.00E+00
135.50	0.00E+00
136.00	0.00E+00
136.50	0.00E+00
137.00	0.00E+00
137.50	0.00E+00
138.00	0.00E+00
140.00	0.00E+00
142.00	0.00E+00
144.00	0.00E+00
146.00	0.00E+00
148.00	0.00E+00
149.00	0.00E+00
150.00	0.00E+00
151.00	0.00E+00
152.00	0.00E+00
153.00	0.00E+00
154.00	0.00E+00
155.00	0.00E+00
156.00	0.00E+00
157.00	0.00E+00
158.00	0.00E+00
159.00	0.00E+00
160.00	0.00E+00
162.00	0.00E+00
164.00	0.00E+00
166.00	0.00E+00
168.00	3.20E-20
170.00	2.30E-20
175.00	5.80E-21
180.00	1.80E-21
185.00	5.00E-22
190.00	1.20E-22
195.00	1.00E-23
227.50	1.00E-25
